,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,algorithm,n_params,n_rank
30,29.0,9.0,22.0,6.0,23.0,6.0,20.0,5.0,EPLEX,10.0,4.0
31,89.0,7.0,73.0,7.0,87.0,11.0,74.0,10.0,EPLEX,,
32,64.0,13.0,48.0,10.0,62.0,13.0,50.0,12.0,EPLEX,,
33,58.0,4.0,46.0,4.0,60.0,9.0,52.0,8.0,EPLEX,,
34,67.0,15.0,58.0,13.0,65.0,14.0,56.0,13.0,EPLEX,14.0,11.0
35,71.0,12.0,44.0,7.0,71.0,14.0,45.0,8.0,EPLEX,11.0,7.0
36,66.0,11.0,58.0,10.0,64.0,9.0,54.0,9.0,EPLEX,11.0,8.0
37,51.0,9.0,43.0,8.0,57.0,11.0,49.0,11.0,EPLEX,10.0,8.0
38,83.0,21.0,50.0,14.0,71.0,13.0,48.0,11.0,EPLEX,14.0,8.0
39,37.0,8.0,24.0,6.0,49.0,11.0,35.0,10.0,EPLEX,6.0,6.0
40,78.0,17.0,50.0,9.0,55.0,15.0,43.0,11.0,EPLEX,12.0,8.0
41,67.0,11.0,43.0,7.0,98.0,14.0,54.0,9.0,EPLEX,,
42,29.0,6.0,27.0,6.0,27.0,5.0,25.0,5.0,EPLEX,6.0,4.0
43,72.0,11.0,46.0,9.0,78.0,13.0,51.0,11.0,EPLEX,11.0,8.0
44,55.0,14.0,36.0,8.0,59.0,11.0,50.0,11.0,EPLEX,13.0,7.0
45,33.0,7.0,28.0,7.0,33.0,7.0,26.0,6.0,EPLEX,7.0,5.0
46,67.0,20.0,45.0,13.0,57.0,11.0,43.0,9.0,EPLEX,16.0,6.0
47,59.0,10.0,57.0,10.0,67.0,12.0,59.0,10.0,EPLEX,10.0,9.0
48,25.0,5.0,20.0,4.0,25.0,6.0,19.0,4.0,EPLEX,6.0,4.0
49,66.0,14.0,50.0,11.0,70.0,16.0,50.0,11.0,EPLEX,12.0,9.0
50,43.0,10.0,29.0,7.0,33.0,8.0,28.0,8.0,EPLEX,10.0,7.0
51,32.0,8.0,27.0,6.0,38.0,8.0,30.0,7.0,EPLEX,8.0,6.0
52,29.0,7.0,18.0,5.0,29.0,7.0,16.0,4.0,EPLEX,9.0,3.0
53,85.0,8.0,57.0,6.0,89.0,8.0,57.0,6.0,EPLEX,7.0,6.0
54,69.0,12.0,46.0,10.0,100.0,25.0,61.0,16.0,EPLEX,11.0,7.0
55,56.0,7.0,32.0,6.0,63.0,15.0,35.0,10.0,EPLEX,8.0,5.0
56,32.0,9.0,22.0,5.0,28.0,6.0,21.0,4.0,EPLEX,8.0,4.0
57,79.0,11.0,45.0,6.0,74.0,9.0,44.0,6.0,EPLEX,7.0,6.0
58,55.0,12.0,49.0,12.0,59.0,14.0,41.0,10.0,EPLEX,13.0,9.0
59,89.0,20.0,67.0,13.0,89.0,20.0,67.0,13.0,EPLEX,13.0,6.0
60,217.0,59.0,187.0,46.0,191.0,48.0,186.0,46.0,FEAT,59.0,35.0
61,116.0,32.0,114.0,31.0,114.0,31.0,113.0,31.0,FEAT,32.0,20.0
62,194.0,55.0,162.0,41.0,162.0,42.0,153.0,40.0,FEAT,55.0,28.0
