dataset,raw_index,algorithm_raw,algo_row,input_kind,variant,status,runtime_ms,before_nodes,before_params,after_nodes,after_params,egraph_total_size,passes,extracted_cost,peak_rss_mb,rendered
kotanchek,18,Bingo,18,sympy,baseline,saturated,190.3101250063628,48.0,3.0,42.0,3.0,274.0,2.0,42.0,110.234375,x1 ** 2.0 * (0.6342565001176109 - (x0 - exp(x0)) * x0) * exp(x0 - exp(x0)) / (x1 ** 2.0 * (exp(3.0 * x0 - 2.0 * exp(x0)) + 0.5982795866023631) + 1.9932377603672047 * exp(x0 - exp(x0)))
kotanchek,19,Bingo,19,original,baseline,saturated,67.6767920376733,26.0,4.0,26.0,4.0,37.0,1.0,26.0,108.765625,0.004874455021822982 * ((0.6623280966084486 + x1) * (9.896181203737148 + (10.524866972388967 + x0) * exp(x0 * (-1.0 + x0) - x0) ** (-1.0) - x1 * x1))
kotanchek,19,Bingo,19,sympy,baseline,saturated,69.02545795310289,29.0,4.0,29.0,4.0,89.0,1.0,29.0,109.546875,0.004874455021822982 * (x1 + 0.6623280966084486) * (x0 + (9.896181203737148 - x1 ** 2.0) * exp(x0 * (x0 - 2.0)) + 10.524866972388967) * exp(x0 * (2.0 - x0))
kotanchek,20,Bingo,20,original,baseline,saturated,67.85462494008243,24.0,5.0,24.0,5.0,92.0,1.0,24.0,108.703125,-0.03309619870833754 * (-3.819150332778322 + x0 + (0.03907279509253594 + x0 * x0) * ((-15.272972634101004 + -7.53747357012547 * x1) * exp(x0 * x0) ** (-1.0)))
kotanchek,20,Bingo,20,sympy,baseline,saturated,1057.4204589938745,31.0,6.0,29.0,5.0,4689.0,2.0,29.0,124.28125,(0.24946172303571493 * (x1 - -2.026272131107024) * (x0 ** 2.0 - -0.03907279509253594) - (x0 - 3.8191503327783223) * (exp(x0 ** 2.0) * 0.03309619870833754)) * exp(-1.0 * x0 ** 2.0)
kotanchek,21,Bingo,21,original,baseline,saturated,143.39429209940135,40.0,4.0,32.0,4.0,43.0,2.0,32.0,109.40625,0.35701166729086253 * ((x0 + exp(x0)) * (-0.17850583364543127 * (x0 * exp(x0)) + exp(0.35701166729086253 * (x0 + exp(x0))) - log(abs(0.35701166729086253 * (x0 + exp(x0))))) ** (-1.0))
kotanchek,21,Bingo,21,sympy,baseline,saturated,1569.6589580038562,33.0,5.0,29.0,4.0,6266.0,2.0,29.0,128.734375,-0.35701166729086253 * (x0 + exp(x0)) / (0.17850583364543127 * x0 * exp(x0) - exp(0.35701166729086253 * (x0 + exp(x0))) + log(x0 + exp(x0)) - 1.0299868162495163)
kotanchek,22,Bingo,22,original,baseline,saturated,88.11879192944616,20.0,3.0,20.0,3.0,26.0,1.0,20.0,108.59375,0.6877488188414488 * exp(2.0 * x0 - (x0 * x0 + (-0.8494111690013563 - x1) * (-0.2000198424296049 - x1) ** (-1.0)))
kotanchek,22,Bingo,22,sympy,baseline,saturated,229.7472080681473,24.0,4.0,20.0,4.0,281.0,2.0,20.0,110.609375,0.6877488188414488 * exp((-0.8494111690013563 - x1 + (x0 - 2.0) * ((-0.2000198424296049 - x1) * x0)) / (x1 - -0.2000198424296049))
kotanchek,23,Bingo,23,original,baseline,saturated,171.991707989946,31.0,7.0,29.0,7.0,173.0,2.0,29.0,109.6875,2.5131784365055503 * (exp(x0) ** (-1.0) * (20.83283257582063 + x0 + 0.029475689425325854 * x1 + -0.6569808069960112 * ((5.186033678881531 - x0) * (5.714201897136322 + x0 + 0.3979025068313296 * exp(x0)))))
kotanchek,23,Bingo,23,sympy,baseline,saturated,221.90370794851333,29.0,7.0,29.0,7.0,475.0,1.0,29.0,110.046875,(2.5131784365055503 * x0 + 0.07407766706486361 * x1 + 1.65110999734039 * (x0 - 5.186033678881531) * (x0 + 0.3979025068313296 * exp(x0) + 5.714201897136322) + 52.356625600882786) * exp(-1.0 * x0)
kotanchek,24,Bingo,24,original,baseline,saturated,100.54670798126608,40.0,8.0,40.0,8.0,77.0,1.0,40.0,108.84375,0.006514843839523813 + (0.012790360845057828 + -0.13720269441638683 * ((x0 + x0 * x0) * (2.4024045089083383 + x1))) * (-1.5068813313136211 + -0.32506758388128154 * exp(x0 * x0) - x0 * x0) ** (-1.0) + exp(-1.5068813313136211 + -0.32506758388128154 * exp(x0 * x0))
kotanchek,24,Bingo,24,sympy,baseline,saturated,116.2817080039531,38.0,8.0,38.0,8.0,150.0,1.0,38.0,109.0,(0.13720269441638683 * (x0 ** 2.0 + x0) * (x1 + 2.4024045089083383) - 0.012790360845057828) / (x0 ** 2.0 + 0.32506758388128154 * exp(x0 ** 2.0) + 1.5068813313136211) + 0.006514843839523813 + 0.22159999840345782 * exp(-0.32506758388128154 * exp(x0 ** 2.0))
kotanchek,25,Bingo,25,original,baseline,saturated,141.07383298687637,28.0,5.0,28.0,5.0,597.0,1.0,28.0,110.53125,0.042926148212222445 + 0.038206703422840375 * (x0 * (5.566396182362499 + x0) * ((0.011789883601234424 + x1) * ((4.1139823128908555 + x0 * x0 - x1) * exp(x0 * x0) ** (-1.0))))
kotanchek,25,Bingo,25,sympy,baseline,saturated,151.619040989317,33.0,5.0,33.0,5.0,368.0,1.0,33.0,110.421875,(0.038206703422840375 * x0 * (x0 + 5.566396182362499) * (x1 + 0.011789883601234424) * (x0 ** 2.0 - x1 + 4.1139823128908555) + 0.042926148212222445 * exp(x0 ** 2.0)) * exp(-1.0 * x0 ** 2.0)
kotanchek,26,Bingo,26,original,baseline,saturated,185.46070903539658,41.0,6.0,37.0,6.0,283.0,2.0,37.0,109.875,0.2497806421525048 + 2.0740493172536087 * (exp(x0) ** (-1.0) * log(abs(x0 + exp(x0))) + -0.3482101992954339) * ((exp(x0) ** (-1.0) * log(abs(x0 + exp(x0))) + -0.00043112406214321176) * (x0 + 0.25978586737652176) + 0.11425874178470499)
kotanchek,26,Bingo,26,sympy,baseline,saturated,686.3378749694675,48.0,6.0,44.0,6.0,3173.0,2.0,44.0,121.34375,(-0.08251824901972855 * (exp(x0) - 2.8718285737275733 * log(x0 + exp(x0))) * (exp(x0) + -0.0037732260605107 * ((x0 + 0.25978586737652176) * (exp(x0) - 2319.517948102414 * log(x0 + exp(x0))))) + 0.2497806421525048 * exp(2.0 * x0)) * exp(-2.0 * x0)
kotanchek,27,Bingo,27,original,baseline,saturated,96.2540420005098,36.0,5.0,36.0,5.0,82.0,1.0,36.0,109.1875,-1.9305547847352778 * ((10.665734721501936 + x0 * (x0 * x0) * (x0 * (x0 * x0)) + 2.057897964881403 * x1 - x0) ** (-1.0) * (0.20556825888097427 + -2.9052829962789213 * x0 + exp(log(abs(x0))) - x1))
