implementation,algorithm_raw,algorithm,algo_row,node_count,after_nodes,runtime_ms,peak_rss_mb,status
Archived Haskell,na,na,na,1.0,na,0.16690000000000002,na,archived_benchmark
Archived Haskell,na,na,na,28.0,na,157.9,na,archived_benchmark
Archived Haskell,na,na,na,29.0,na,5.302,na,archived_benchmark
Archived Haskell,na,na,na,29.0,na,73.57,na,archived_benchmark
Archived Haskell,na,na,na,28.0,na,393.9,na,archived_benchmark
Archived Haskell,na,na,na,29.0,na,262.8,na,archived_benchmark
Archived Haskell,na,na,na,29.0,na,393.6,na,archived_benchmark
Archived Haskell,na,na,na,29.0,na,225.2,na,archived_benchmark
Archived Haskell,na,na,na,26.0,na,4.449,na,archived_benchmark
Archived Haskell,na,na,na,29.0,na,173.7,na,archived_benchmark
Archived Haskell,na,na,na,26.0,na,81.57,na,archived_benchmark
Archived Haskell,na,na,na,29.0,na,294.5,na,archived_benchmark
Archived Haskell,na,na,na,27.0,na,53.53,na,archived_benchmark
Archived Haskell,na,na,na,28.0,na,3.177,na,archived_benchmark
Archived Haskell,na,na,na,28.0,na,221.1,na,archived_benchmark
Archived Haskell,na,na,na,28.0,na,4.708,na,archived_benchmark
Archived Haskell,na,na,na,31.0,na,262.3,na,archived_benchmark
Archived Haskell,na,na,na,29.0,na,130.8,na,archived_benchmark
Archived Haskell,na,na,na,27.0,na,65.0,na,archived_benchmark
Archived Haskell,na,na,na,29.0,na,24.89,na,archived_benchmark
Archived Haskell,na,na,na,28.0,na,5.798,na,archived_benchmark
Archived Haskell,na,na,na,27.0,na,20.73,na,archived_benchmark
Archived Haskell,na,na,na,28.0,na,306.4,na,archived_benchmark
Archived Haskell,na,na,na,28.0,na,85.76,na,archived_benchmark
Archived Haskell,na,na,na,28.0,na,23.42,na,archived_benchmark
Archived Haskell,na,na,na,43.0,na,14.5,na,archived_benchmark
Archived Haskell,na,na,na,23.0,na,25.42,na,archived_benchmark
Archived Haskell,na,na,na,27.0,na,3.468,na,archived_benchmark
Archived Haskell,na,na,na,49.0,na,31.47,na,archived_benchmark
Archived Haskell,na,na,na,23.0,na,2.993,na,archived_benchmark
Archived Haskell,na,na,na,53.0,na,36.18,na,archived_benchmark
Archived Haskell,na,na,na,21.0,na,8.431,na,archived_benchmark
Archived Haskell,na,na,na,20.0,na,225.5,na,archived_benchmark
Archived Haskell,na,na,na,31.0,na,102.6,na,archived_benchmark
Archived Haskell,na,na,na,25.0,na,5.126,na,archived_benchmark
Archived Haskell,na,na,na,24.0,na,294.0,na,archived_benchmark
Archived Haskell,na,na,na,15.0,na,130.6,na,archived_benchmark
Archived Haskell,na,na,na,33.0,na,5.123,na,archived_benchmark
Archived Haskell,na,na,na,29.0,na,281.4,na,archived_benchmark
Archived Haskell,na,na,na,45.0,na,36.26,na,archived_benchmark
Archived Haskell,na,na,na,47.0,na,126.0,na,archived_benchmark
Archived Haskell,na,na,na,49.0,na,111.5,na,archived_benchmark
Archived Haskell,na,na,na,23.0,na,6.7,na,archived_benchmark
Archived Haskell,na,na,na,25.0,na,13.98,na,archived_benchmark
Archived Haskell,na,na,na,39.0,na,45.59,na,archived_benchmark
Archived Haskell,na,na,na,43.0,na,5.005,na,archived_benchmark
Archived Haskell,na,na,na,27.0,na,4.47,na,archived_benchmark
Archived Haskell,na,na,na,27.0,na,268.9,na,archived_benchmark
Archived Haskell,na,na,na,29.0,na,2.533,na,archived_benchmark
Archived Haskell,na,na,na,20.0,na,1.174,na,archived_benchmark
Archived Haskell,na,na,na,16.0,na,1.082,na,archived_benchmark
Archived Haskell,na,na,na,53.0,na,254.4,na,archived_benchmark
Archived Haskell,na,na,na,41.0,na,8.862,na,archived_benchmark
Archived Haskell,na,na,na,17.0,na,1.122,na,archived_benchmark
Archived Haskell,na,na,na,27.0,na,11.14,na,archived_benchmark
Archived Haskell,na,na,na,44.0,na,233.9,na,archived_benchmark
Archived Haskell,na,na,na,39.0,na,266.9,na,archived_benchmark
Archived Haskell,na,na,na,35.0,na,11.92,na,archived_benchmark
Archived Haskell,na,na,na,41.0,na,461.7,na,archived_benchmark
Archived Haskell,na,na,na,44.0,na,59.14,na,archived_benchmark
Archived Haskell,na,na,na,31.0,na,275.6,na,archived_benchmark
Archived Haskell,na,na,na,28.0,na,107.9,na,archived_benchmark
Archived Haskell,na,na,na,37.0,na,112.2,na,archived_benchmark
Archived Haskell,na,na,na,35.0,na,515.9,na,archived_benchmark
Archived Haskell,na,na,na,36.0,na,155.0,na,archived_benchmark
Archived Haskell,na,na,na,33.0,na,11.26,na,archived_benchmark
Archived Haskell,na,na,na,41.0,na,283.9,na,archived_benchmark
Archived Haskell,na,na,na,42.0,na,532.3,na,archived_benchmark
Archived Haskell,na,na,na,43.0,na,149.6,na,archived_benchmark
Archived Haskell,na,na,na,41.0,na,241.4,na,archived_benchmark
Archived Haskell,na,na,na,34.0,na,143.2,na,archived_benchmark
Archived Haskell,na,na,na,42.0,na,28.95,na,archived_benchmark
Archived Haskell,na,na,na,43.0,na,371.3,na,archived_benchmark
Archived Haskell,na,na,na,42.0,na,339.4,na,archived_benchmark
Archived Haskell,na,na,na,35.0,na,101.4,na,archived_benchmark
Archived Haskell,na,na,na,31.0,na,339.8,na,archived_benchmark
Archived Haskell,na,na,na,31.0,na,200.3,na,archived_benchmark
Archived Haskell,na,na,na,37.0,na,198.2,na,archived_benchmark
Archived Haskell,na,na,na,26.0,na,4.09,na,archived_benchmark
Archived Haskell,na,na,na,41.0,na,231.5,na,archived_benchmark
Archived Haskell,na,na,na,43.0,na,90.39,na,archived_benchmark
Archived Haskell,na,na,na,42.0,na,129.6,na,archived_benchmark
Archived Haskell,na,na,na,44.0,na,203.5,na,archived_benchmark
