dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,n_rank,before_params,after_params,rank_gap,simpl_parsed_n_params,parsed_rank_gap,runtime_ms,peak_rss_mb,passes,egraph_total_size,egraph_nodes,eclass_count,extracted_cost,rendered
kotanchek,190,SRjl,11,original,PySR,exp(x0 + -0.21546645087388747 - x0 * x0 - (x1 - x0)) * ((x1 + (exp((x1 - x1 * x1 + (x1 + 0.7393127343318426)) * x1) + x1 * x1 - x1) * -0.07637600437144379) * 0.7393127343318426 * (x1 + x1 * 0.05221153846822916)),5.0,43.0,3.0,5.0,5.0,2.0,5.0,2.0,127.1562920010183,110.546875,2.0,236.0,na,na,43.0,exp(x0 + -0.21546645087388747 - x0 * x0 - (x1 - x0)) * (-0.05646575262919287 * (x1 + x1 * 0.05221153846822916) * (exp((x1 - x1 * x1 + (x1 + 0.7393127343318426)) * x1) + x1 * x1 - x1 + x1 / -0.07637600437144379))
kotanchek,195,SRjl,16,sympy,PySR,(0.6193677368705359 * x0 + x1) * (x0 * (x0 + x1 - exp(x1) - 3.302672572491928) + x1 ** 2.0 * (0.4943409476627152 - 2.0 * x1)) / ((x0 + x1 - exp(x1) - 3.302672572491928) * (-1.0 * x1 + exp(x0 ** 2.0) + exp(x1) + 2.853886507925958)),5.0,49.0,4.0,5.0,5.0,1.0,5.0,1.0,748.3553749916609,136.984375,2.0,437.0,na,na,47.0,(x1 - -0.6193677368705359 * x0) * (x0 * (x0 + x1 - exp(x1) - 3.302672572491928) - 2.0 * (x1 + -0.2471704738313576) * x1 ** 2.0) / ((x0 + x1 - exp(x1) - 3.302672572491928) * (exp(x0 ** 2.0) - x1 - (-2.853886507925958 - exp(x1))))
pagie,109,GOMEA,20,original,GP-GOMEA,1.949837 - 1e-05 * (exp(9.658 + 1.885 - x1 * x1) + exp(10.589 + 1.026 - x0 * x0)),6.0,17.0,3.0,6.0,4.0,1.0,4.0,1.0,59.3600420106668,100.0625,2.0,22.0,na,na,17.0,1e-05 * (194983.69999999998 - 103053.13417752837 / exp(x1 * x1) - 110746.6013664062 / exp(x0 * x0))
pagie,111,GOMEA,22,original,GP-GOMEA,1.93893 - 5.4461 * (exp(-0.454 - 1.011 - x1 * x1) + exp(-1.344 - 0.479 - x0 * x0)),6.0,17.0,3.0,6.0,4.0,1.0,4.0,1.0,58.951874991180375,99.484375,2.0,22.0,na,na,17.0,5.4461 * (0.3560217403279411 - 0.23107799147733024 / exp(x1 * x1) - 0.16154040206838896 / exp(x0 * x0))
pagie,100,GOMEA,11,original,GP-GOMEA,1.950391 - 2.1e-05 * (exp(13.012 - 2.124 - x0 * x0) + exp(-1.572 + 12.461 - x1 * x1)),6.0,17.0,3.0,6.0,4.0,1.0,4.0,1.0,81.323083024472,111.296875,2.0,22.0,na,na,17.0,2.1e-05 * (92875.76190476191 - 53530.1325732352 / exp(x0 * x0) - 53583.68947979861 / exp(x1 * x1))
pagie,92,GOMEA,3,original,GP-GOMEA,1.950381 - 42823.103036 * (exp(11.065 - 21.622 - x0 * x0) + exp(-3.089 - 7.475 - x1 * x1)),6.0,17.0,3.0,6.0,4.0,1.0,4.0,1.0,61.93616698146798,106.171875,2.0,22.0,na,na,17.0,42823.103036 * (4.554506473667678e-05 - 2.6010766747182815e-05 / exp(x0 * x0) - 2.582932715938754e-05 / exp(x1 * x1))
kotanchek,8,Bingo,8,original,Bingo,0.11720391936222797 * (x1 * ((0.6931234338478329 + x0 * (6.4849819024041455 + -0.6667403548542734 * ((-1.3864562418418644 + x1) * (-1.3864562418418644 + x1)) - x0)) * exp(x0) ** (-1.0))),6.0,21.0,2.0,6.0,6.0,4.0,6.0,4.0,53.942750004353,106.453125,1.0,91.0,na,na,26.0,0.11720391936222797 * (x1 * ((0.6931234338478329 + x0 * (6.4849819024041455 + -0.6667403548542734 * ((-1.3864562418418644 + x1) * (-1.3864562418418644 + x1)) - x0)) * exp(x0) ** (-1.0)))
kotanchek,26,Bingo,26,sympy,Bingo,(((0.5185123293134022 * x0 + 0.13470217521610287) * (0.0008622481242864235 * exp(x0) - 2.0 * log(x0 + exp(x0))) - 0.11848913269441189 * exp(x0)) * (0.6964203985908678 * exp(x0) - 2.0 * log(x0 + exp(x0))) + 0.2497806421525048 * exp(2.0 * x0)) * exp(-2.0 * x0),6.0,21.0,5.0,6.0,6.0,1.0,6.0,1.0,667.8413749905303,136.046875,2.0,2476.0,na,na,44.0,(0.23697826538882377 * (log(x0 + exp(x0)) + -0.3482101992954339 * exp(x0)) * (exp(x0) + 8.752065569602333 * (log(x0 + exp(x0)) + exp(x0) / -2319.517948102414) * (x0 + 0.25978586737652176)) + 0.2497806421525048 * exp(2.0 * x0)) * exp(-2.0 * x0)
pagie,30,EPLEX,1,sympy,EPLEX,log(abs(log(abs(0.170714251278031 / ((x0 ** 2.0 + 0.5979311721486) * ((x1 + 0.178084) * (1.077 * x1 + 0.270967476105117) + 0.497005071270832)))))),6.0,23.0,4.0,6.0,5.0,1.0,5.0,1.0,92.44333300739528,110.515625,2.0,34.0,na,na,21.0,log(abs(log(abs(0.1585090541114494 / ((x0 ** 2.0 + 0.5979311721486) * ((x1 + 0.178084) * (x1 + 0.2515946853343705) + 0.46147174676957475))))))
pagie,23,Bingo,23,sympy,Bingo,0.06435725235582418 * x0 / log(3566206920.7839065 / (x0 * x1)) - 5.64393372152411 + 148.7679975624414 / log(3566206920.7839065 / (x0 * x1)) + 0.002708862303985314 / x1,6.0,23.0,4.0,6.0,5.0,1.0,5.0,1.0,89.31037501315586,111.625,2.0,96.0,na,na,18.0,(148.7679975624414 + 0.06435725235582418 * x0) / (21.99476838072296 - log(x0 * x1)) + -5.64393372152411 + 0.002708862303985314 / x1
kotanchek,166,SBP,17,sympy,SBP,x0 * (0.662680172064 - 0.331340086032 * x0) * (0.180440274269217 * x0 - 1.0) ** 2.0 + 0.010788 * x0 + 0.032364 * x1 + 0.109511788,6.0,25.0,3.0,6.0,5.0,2.0,5.0,2.0,926.510417019017,148.734375,2.0,383.0,na,na,23.0,x0 * ((0.180440274269217 * x0 + -1.0) ** 2.0 * (-0.331340086032 * (x0 + -2.0)) + 0.010788) + 0.032364 * x1 + 0.109511788
kotanchek,155,SBP,6,original,SBP,0.684378 - 0.025139 * (x0 * x0 + (19.711 - (x1 - exp(exp(-20.972) - x1 * -0.586) - x1 * (x1 - 5.42))) - x1),6.0,26.0,4.0,6.0,5.0,1.0,5.0,1.0,403.5479160083923,122.59375,2.0,105.0,na,na,24.0,0.025139 * (7.512755917100922 + x1 + -1.0000000007797873 * exp(0.586 * x1) - x0 * x0 - x1 * (x1 + -5.42) + x1)
kotanchek,155,SBP,6,sympy,SBP,-0.025139 * x0 ** 2.0 - 0.025139 * x1 ** 2.0 + 0.18653138 * x1 - 0.0251390000196031 * exp(0.586 * x1) + 0.188863171,6.0,26.0,4.0,6.0,5.0,1.0,5.0,1.0,2023.6099579778968,172.921875,2.0,9117.0,na,na,22.0,-0.025139 * (x0 ** 2.0 + x1 ** 2.0) + 0.18653138 * x1 + -0.0251390000196031 * exp(0.586 * x1) + 0.188863171
pagie,165,SBP,15,original,SBP,1.139001 + 0.01085 * ((x0 * x0 - (-6.659 + x0)) * (-12.488 + x0) - (13.571 - (exp(x0) - x0) - (x1 * 14.814 - exp(x1)))),6.0,26.0,4.0,6.0,5.0,1.0,5.0,1.0,304.19962501036935,121.171875,2.0,80.0,na,na,27.0,0.01085 * (91.40605069124423 + (exp(x0) - x0 + (x0 * x0 + 6.659 - x0) * (-12.488 + x0)) + (x1 * 14.814 - exp(x1)))
pagie,176,SBP,26,sympy,SBP,0.455914378864642 * x0 * exp(-1.0 * x0 ** 2.0 + 1.0 * x0) - 0.001527 * x1 * exp(x1) + 0.0886467577217386 * x1 + 0.001527 * x1 * exp(-16.248 * x0) - 0.06855,6.0,26.0,4.0,6.0,5.0,1.0,5.0,1.0,1661.124333011685,173.21875,2.0,79.0,na,na,28.0,0.001527 * (x1 * (exp(-16.248 * x0) + 58.0528865237319) - -298.56868294999475 * (exp(x0 - x0 ** 2.0) * x0) - exp(x1) * x1 - 44.89194499017682)
kotanchek,157,SBP,8,original,SBP,0.144574 + 0.000155 * (((x1 - 11.267 * 7.23) * 3.308 + (x1 + exp(7.23 - x0 * x0) * (x0 * x1 + exp(x0)))) * x0),6.0,27.0,4.0,6.0,5.0,1.0,5.0,1.0,836.319750000257,132.953125,2.0,5761.0,na,na,27.0,0.144574 + 0.000155 * (((x1 + -81.46041) * 3.308 + (x1 + exp(7.23 - x0 * x0) * (x0 * x1 + exp(x0)))) * x0)
pagie,176,SBP,26,original,SBP,-0.06855 + 0.001527 * (x0 * exp(x0 + 5.699 - x0 * x0) + (9.142 + (exp(3.89) - (exp(x1) - exp(x0 * -16.248)))) * x1),6.0,27.0,4.0,6.0,6.0,2.0,6.0,2.0,65.78683300176635,105.171875,2.0,65.0,na,na,28.0,-0.06855 + 0.001527 * (x0 * exp(x0 + 5.699 - x0 * x0) + (9.142 + (48.91088652373189 - (exp(x1) - exp(x0 * -16.248)))) * x1)
pagie,179,SBP,29,original,SBP,0.105238 - 0.004516 * (x0 - x0 * ((x1 - 5.432) * x1 + x1) * (x0 - x1 - 3.749) * (exp(2.638 - x0) - 1.033)),6.0,28.0,4.0,6.0,6.0,2.0,6.0,2.0,71.4711670007091,100.453125,2.0,120.0,na,na,28.0,0.105238 - 0.004516 * (x0 - x0 * ((x1 - 5.432) * x1 + x1) * (x0 - x1 - 3.749) * (13.985205208250427 / exp(x0) - 1.033))
kotanchek,172,SBP,23,original,SBP,1289016.678435 - 0.009565 * ((x0 + x0) * x0 + (exp(18.719) - (x1 + x1 - exp(x1) + (-7.155 + (8.072 - x0 + 7.155) * x1)))),6.0,28.0,3.0,6.0,4.0,1.0,4.0,1.0,136.8711670220364,114.5,2.0,34.0,na,na,24.0,0.009565 * (4695.615595638752 + (x1 + x1) - exp(x1) + (8.072 - x0 + 7.155) * x1 - (x0 + x0) * x0)
kotanchek,165,SBP,16,original,SBP,0.009361 + 0.001754 * ((4.923 - x1) * ((x0 * x0 - 16.384) * (x0 * x0 - (-1.015 + x0) - x0 - 3.101) + x0) * x1),6.0,29.0,5.0,6.0,6.0,1.0,6.0,1.0,81.23204199364409,100.375,2.0,89.0,na,na,29.0,0.009361 + 0.001754 * ((4.923 - x1) * ((x0 * x0 + -16.384) * (x0 * x0 + 1.015 - x0 - x0 + -3.101) + x0) * x1)
pagie,172,SBP,22,original,SBP,0.179028 - 0.00963 * (exp(x0 * -15.767) + (exp(x1) - ((x0 + (x0 + x0) - 18.776) * x0 + 18.776) * x0 + -14.972 * x1)),6.0,29.0,4.0,6.0,6.0,2.0,6.0,2.0,137.35216698842123,113.015625,2.0,183.0,na,na,29.0,0.00963 * (18.590654205607475 - exp(x1) + ((x0 + (x0 + x0) - 18.776) * x0 + 18.776) * x0 - (exp(x0 * -15.767) + -14.972 * x1))
