dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,n_rank,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,before_status,before_after_params,before_rank_gap,before_parsed_rank_gap,before_parsed_after_params,before_runtime_ms,before_peak_rss_mb,before_passes,before_egraph_total_size,before_rendered,after_status,after_after_params,after_rank_gap,after_parsed_rank_gap,after_parsed_after_params,after_runtime_ms,after_peak_rss_mb,after_passes,after_egraph_total_size,after_rendered,agent_status,conclusion_kind,new_rule_family,proposed_rule,proof_summary,remaining_gap_notes,longer_probe_status,longer_probe_after_params,longer_probe_rank_gap,longer_probe_improved,longer_probe_reached_rank,longer_probe_runtime_ms,longer_probe_peak_rss_mb,before_rank_miss,after_rank_miss,param_delta,rank_gap_delta,missing_rank,execution_issue,fixed_by_extra_rules,still_missed,newly_missed,under_rank,regressed_params,outcome,remaining_issue
kotanchek,55,EPLEX,26,original,EPLEX,2.0,exp((-0.522 * x0) ** 3.0 - exp(0.123)),2.0,10.0,saturated,2.0,0.0,0.0,2.0,39.98412500368431,112.796875,2.0,21.0,exp((-0.522 * x0) ** 3.0 - 1.1308844209474893),saturated,2.0,0.0,0.0,2.0,67.85454199416563,95.5,2.0,27.0,exp((-0.522 * x0) ** 3.0 - 1.1308844209474893),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,55,EPLEX,26,sympy,EPLEX,2.0,0.322747685344673 * exp(-0.142236648 * x0 ** 3.0),2.0,10.0,saturated,2.0,0.0,0.0,2.0,28.279749996727332,108.046875,1.0,15.0,0.322747685344673 * exp(-0.142236648 * x0 ** 3.0),saturated,2.0,0.0,0.0,2.0,39.87362500629388,110.703125,1.0,15.0,0.322747685344673 * exp(-0.142236648 * x0 ** 3.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,106,GOMEA,17,original,GP-GOMEA,2.0,1.95039 - 1.109849 * (exp(x1 - x1 - x0 * x0) + exp(x0 - x0 - x1 * x1)),2.0,21.0,saturated,2.0,0.0,0.0,2.0,48.71649999404326,112.3125,2.0,32.0,1.109849 * (1.7573471706511425 - exp(-1.0 * (x0 * x0)) - exp(-1.0 * (x1 * x1))),saturated,2.0,0.0,0.0,2.0,69.66945898602717,105.859375,2.0,39.0,1.109849 * (1.7573471706511425 - exp(-1.0 * (x0 * x0)) - exp(-1.0 * (x1 * x1))),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,107,GOMEA,18,original,GP-GOMEA,2.0,1.95039 - 1.109849 * (exp(x1 - x1 - x0 * x0) + exp(x0 - x0 - x1 * x1)),2.0,21.0,saturated,2.0,0.0,0.0,2.0,47.31254102080129,112.640625,2.0,32.0,1.109849 * (1.7573471706511425 - exp(-1.0 * (x0 * x0)) - exp(-1.0 * (x1 * x1))),saturated,2.0,0.0,0.0,2.0,61.229540995555,99.796875,2.0,39.0,1.109849 * (1.7573471706511425 - exp(-1.0 * (x0 * x0)) - exp(-1.0 * (x1 * x1))),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,117,GOMEA,28,original,GP-GOMEA,2.0,1.95039 - 1.109849 * (exp(x0 - x0 - x1 * x1) + exp(x0 - x0 - x0 * x0)),2.0,21.0,saturated,2.0,0.0,0.0,2.0,45.67191700334661,112.640625,2.0,32.0,1.109849 * (1.7573471706511425 - exp(-1.0 * (x1 * x1)) - exp(-1.0 * (x0 * x0))),saturated,2.0,0.0,0.0,2.0,83.51883399882354,111.359375,2.0,39.0,1.109849 * (1.7573471706511425 - exp(-1.0 * (x1 * x1)) - exp(-1.0 * (x0 * x0))),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,29,Bingo,29,sympy,Bingo,4.0,0.3382730532836002 * log(29.00794352451898 * x0 * x1 + log(x0 / x1)),2.0,27.0,saturated,2.0,-2.0,-2.0,2.0,30.82287500728853,108.59375,1.0,27.0,0.3382730532836002 * log(29.00794352451898 * x0 * x1 + log(x0 / x1)),saturated,2.0,-2.0,-2.0,2.0,56.401124980766326,99.53125,1.0,38.0,0.3382730532836002 * log(29.00794352451898 * x0 * x1 + log(x0 / x1)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,True,False,under_rank,na
pagie,29,Bingo,29,original,Bingo,4.0,0.3382730532836002 * log(abs(29.00794352451898 * (x0 * x1) + log(abs(x0 * x1 ** (-1.0))))),2.0,27.0,saturated,2.0,-2.0,-2.0,2.0,30.568832997232676,106.796875,1.0,33.0,0.3382730532836002 * log(abs(29.00794352451898 * (x0 * x1) + log(abs(x0 * x1 ** (-1.0))))),saturated,2.0,-2.0,-2.0,2.0,43.56108399224467,98.890625,1.0,46.0,0.3382730532836002 * log(abs(29.00794352451898 * (x0 * x1) + log(abs(x0 * x1 ** (-1.0))))),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,True,False,under_rank,na
kotanchek,9,Bingo,9,original,Bingo,3.0,exp(x0) * (3.396536372521252 + (0.4137631538437465 + x1) ** (-1.0) * (exp(x0) ** (-1.0) * exp(exp(x0)))) ** (-1.0),2.0,32.0,saturated,2.0,-1.0,-1.0,2.0,32.798875006847084,109.546875,1.0,33.0,exp(x0) * (3.396536372521252 + (0.4137631538437465 + x1) ** (-1.0) * (exp(x0) ** (-1.0) * exp(exp(x0)))) ** (-1.0),saturated,2.0,-1.0,-1.0,2.0,41.991000005509704,107.203125,1.0,33.0,exp(x0) * (3.396536372521252 + (0.4137631538437465 + x1) ** (-1.0) * (exp(x0) ** (-1.0) * exp(exp(x0)))) ** (-1.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,True,False,under_rank,na
kotanchek,32,EPLEX,3,sympy,EPLEX,3.0,0.414 * exp(0.802816 * (x0 - 0.8) ** 2.0),3.0,10.0,saturated,3.0,0.0,0.0,3.0,34.54083399265073,109.296875,1.0,25.0,0.414 * exp(0.802816 * (x0 - 0.8) ** 2.0),saturated,3.0,0.0,0.0,3.0,82.40866698906757,110.640625,1.0,25.0,0.414 * exp(0.802816 * (x0 - 0.8) ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,153,SBP,4,original,SBP,3.0,-0.000465 + 0.164361 * exp(x0 * (2.011 - x0)),3.0,10.0,saturated,3.0,0.0,0.0,3.0,29.032125021331012,109.53125,1.0,24.0,-0.000465 + 0.164361 * exp(x0 * (2.011 - x0)),saturated,3.0,0.0,0.0,3.0,42.692040995461866,110.515625,1.0,24.0,-0.000465 + 0.164361 * exp(x0 * (2.011 - x0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,32,EPLEX,3,original,EPLEX,3.0,0.414 / exp(-1.0 * 0.896 ** 2.0 * (x0 - 0.8) ** 2.0),3.0,10.0,saturated,3.0,0.0,0.0,3.0,40.20212500472553,112.21875,2.0,24.0,0.414 / exp(-0.8028160000000001 * (x0 - 0.8) ** 2.0),saturated,3.0,0.0,0.0,3.0,56.60574999637902,106.953125,2.0,24.0,0.414 / exp(-0.8028160000000001 * (x0 - 0.8) ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,153,SBP,4,sympy,SBP,3.0,0.164361 * exp(-1.0 * x0 ** 2.0 + 2.011 * x0) - 0.000465,3.0,14.0,saturated,3.0,0.0,0.0,3.0,67.31799998669885,109.578125,2.0,38.0,0.164361 * exp(2.011 * x0 - x0 ** 2.0) - 0.000465,saturated,3.0,0.0,0.0,3.0,119.77158300578594,113.453125,2.0,38.0,0.164361 * exp(2.011 * x0 - x0 ** 2.0) - 0.000465,na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,101,GOMEA,12,sympy,GP-GOMEA,3.0,1.884443 - 1.188614 * exp(-0.184 * x0 ** 2.0 * x1 ** 2.0),3.0,16.0,saturated,3.0,0.0,0.0,3.0,31.03920799912885,108.875,1.0,52.0,1.884443 - 1.188614 * exp(-0.184 * x0 ** 2.0 * x1 ** 2.0),saturated,3.0,0.0,0.0,3.0,45.66933299065568,99.578125,1.0,52.0,1.884443 - 1.188614 * exp(-0.184 * x0 ** 2.0 * x1 ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,102,GOMEA,13,original,GP-GOMEA,3.0,1.926897 - 1.163077 * exp(x0 * (-0.122 * x1 * (x0 * x1))),3.0,16.0,saturated,3.0,0.0,0.0,3.0,34.40587499062531,109.8125,1.0,109.0,1.926897 - 1.163077 * exp(x0 * (-0.122 * x1 * (x0 * x1))),saturated,3.0,0.0,0.0,3.0,44.2867919919081,99.34375,1.0,109.0,1.926897 - 1.163077 * exp(x0 * (-0.122 * x1 * (x0 * x1))),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,102,GOMEA,13,sympy,GP-GOMEA,3.0,1.926897 - 1.163077 * exp(-0.122 * x0 ** 2.0 * x1 ** 2.0),3.0,16.0,saturated,3.0,0.0,0.0,3.0,31.416207988513634,109.453125,1.0,52.0,1.926897 - 1.163077 * exp(-0.122 * x0 ** 2.0 * x1 ** 2.0),saturated,3.0,0.0,0.0,3.0,45.38150000735186,99.890625,1.0,52.0,1.926897 - 1.163077 * exp(-0.122 * x0 ** 2.0 * x1 ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,97,GOMEA,8,sympy,GP-GOMEA,3.0,1.94286 - 1.152683 * exp(-0.105085451613159 * x0 ** 2.0 * x1 ** 2.0),3.0,16.0,saturated,3.0,0.0,0.0,3.0,29.39662500284612,108.8125,1.0,52.0,1.94286 - 1.152683 * exp(-0.105085451613159 * x0 ** 2.0 * x1 ** 2.0),saturated,3.0,0.0,0.0,3.0,41.402333008591086,98.640625,1.0,52.0,1.94286 - 1.152683 * exp(-0.105085451613159 * x0 ** 2.0 * x1 ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,99,GOMEA,10,sympy,GP-GOMEA,3.0,1.84491 - 1.211361 * exp(-0.278615282015546 * x0 ** 2.0 * x1 ** 2.0),3.0,16.0,saturated,3.0,0.0,0.0,3.0,32.812041987199336,109.40625,1.0,52.0,1.84491 - 1.211361 * exp(-0.278615282015546 * x0 ** 2.0 * x1 ** 2.0),saturated,3.0,0.0,0.0,3.0,43.88508398551494,100.328125,1.0,52.0,1.84491 - 1.211361 * exp(-0.278615282015546 * x0 ** 2.0 * x1 ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,113,GOMEA,24,sympy,GP-GOMEA,3.0,1.961773 - 1.139885 * exp(-0.0882835453806378 * x0 ** 2.0 * x1 ** 2.0),3.0,16.0,saturated,3.0,0.0,0.0,3.0,37.810209003509954,108.9375,1.0,52.0,1.961773 - 1.139885 * exp(-0.0882835453806378 * x0 ** 2.0 * x1 ** 2.0),saturated,3.0,0.0,0.0,3.0,40.61175000970252,99.0,1.0,52.0,1.961773 - 1.139885 * exp(-0.0882835453806378 * x0 ** 2.0 * x1 ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,25,Bingo,25,sympy,Bingo,2.0,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),3.0,18.0,saturated,3.0,1.0,1.0,3.0,30.040792014915496,109.46875,1.0,28.0,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),saturated,3.0,1.0,1.0,3.0,42.48487501172349,105.234375,1.0,28.0,exp(2.377396411352944 * (log(x0 * x1) + 0.3582973557925481) / (log(x0) + 8.605174590777912)),done,needs_many_params_or_rank_artifact,no_rank_reducing_rule,none,"Current rules do not reduce 3->2. Even splitting log(x0*x1) or exp/additive forms leaves A, B, C generically independent in exp(A*(u+v+B)/(u+C)).",Likely rank/counting or finite-data artifact rather than rewrite-budget miss.,ok,3.0,1.0,False,False,29.037333006272092,110.671875,True,True,0.0,0.0,False,False,False,True,False,False,False,still_missed,needs_many_params_or_rank_artifact
pagie,93,GOMEA,4,original,GP-GOMEA,3.0,1.95039 - 1.109745 * (exp(x0 - x0 - x1 * x1) + exp(exp(-8.548) - x0 * x0)),3.0,19.0,saturated,3.0,0.0,0.0,3.0,46.35949997464195,109.5625,2.0,28.0,1.109745 * (1.7575118608328941 - exp(-1.0 * (x1 * x1)) - exp(0.00019393257710559848 - x0 * x0)),saturated,3.0,0.0,0.0,3.0,63.124667009105906,104.515625,2.0,33.0,1.109745 * (1.7575118608328941 - exp(-1.0 * (x1 * x1)) - 1.0001939513832434 / exp(x0 * x0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,104,GOMEA,15,original,GP-GOMEA,3.0,1.95039 - 1.109582 * (exp(exp(-7.605) - x0 * x0) + exp(x1 - x1 - x1 * x1)),3.0,19.0,saturated,3.0,0.0,0.0,3.0,46.48308298783377,109.625,2.0,28.0,1.109582 * (1.75777004313336 - exp(0.0004979554215032735 - x0 * x0) - exp(-1.0 * (x1 * x1))),saturated,3.0,0.0,0.0,3.0,65.59308301075362,111.328125,2.0,33.0,1.109582 * (1.75777004313336 - 1.0004980794218856 / exp(x0 * x0) - exp(-1.0 * (x1 * x1))),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
kotanchek,97,GOMEA,8,original,GP-GOMEA,3.0,0.040188 - 0.167339 * (exp(exp(-4.145) - x1 * x1) - exp(x0 + x0 - x0 * x0)),3.0,19.0,saturated,3.0,0.0,0.0,3.0,56.653000006917864,106.1875,2.0,46.0,0.040188 - 0.167339 * (exp(0.015843435951321115 - x1 * x1) - exp(x0 + x0 - x0 * x0)),saturated,3.0,0.0,0.0,3.0,66.23333299648948,111.15625,2.0,46.0,0.040188 - 0.167339 * (1.0159696086383052 / exp(x1 * x1) - exp(x0 + x0 - x0 * x0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,90,GOMEA,1,original,GP-GOMEA,3.0,1.950385 - 1.107514 * (exp(x1 - x1 - x1 * x1) + exp(exp(-5.436) - x0 * x0)),3.0,19.0,saturated,3.0,0.0,0.0,3.0,55.36220900830813,109.125,2.0,28.0,1.107514 * (1.7610477158753748 - exp(-1.0 * (x1 * x1)) - exp(0.004356875966022165 - x0 * x0)),saturated,3.0,0.0,0.0,3.0,68.45062502543442,105.8125,2.0,33.0,1.107514 * (1.7610477158753748 - exp(-1.0 * (x1 * x1)) - 1.0043663809491112 / exp(x0 * x0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,105,GOMEA,16,original,GP-GOMEA,3.0,1.950383 - 1.106588 * (exp(exp(-5.103) - x0 * x0) + exp(x0 - x0 - x1 * x1)),3.0,19.0,saturated,3.0,0.0,0.0,3.0,49.44158298894763,109.703125,2.0,28.0,1.106588 * (1.762519564643752 - exp(0.0060784837337638405 - x0 * x0) - exp(-1.0 * (x1 * x1))),saturated,3.0,0.0,0.0,3.0,63.60349999158643,98.65625,2.0,33.0,1.106588 * (1.762519564643752 - 1.006096995204232 / exp(x0 * x0) - exp(-1.0 * (x1 * x1))),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,106,GOMEA,17,sympy,GP-GOMEA,2.0,1.95039 - 1.109849 * exp(-1.0 * x1 ** 2.0) - 1.109849 * exp(-1.0 * x0 ** 2.0),3.0,19.0,saturated,2.0,0.0,0.0,2.0,394.1351250105072,129.171875,2.0,24.0,1.109849 * (1.7573471706511425 - exp(-1.0 * x1 ** 2.0) - exp(-1.0 * x0 ** 2.0)),saturated,2.0,0.0,0.0,2.0,984.0590830135624,142.828125,2.0,24.0,1.109849 * (1.7573471706511425 - exp(-1.0 * x1 ** 2.0) - exp(-1.0 * x0 ** 2.0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,107,GOMEA,18,sympy,GP-GOMEA,2.0,1.95039 - 1.109849 * exp(-1.0 * x1 ** 2.0) - 1.109849 * exp(-1.0 * x0 ** 2.0),3.0,19.0,saturated,2.0,0.0,0.0,2.0,418.61087500001304,125.453125,2.0,24.0,1.109849 * (1.7573471706511425 - exp(-1.0 * x1 ** 2.0) - exp(-1.0 * x0 ** 2.0)),saturated,2.0,0.0,0.0,2.0,922.0861250068992,142.953125,2.0,24.0,1.109849 * (1.7573471706511425 - exp(-1.0 * x1 ** 2.0) - exp(-1.0 * x0 ** 2.0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,117,GOMEA,28,sympy,GP-GOMEA,2.0,1.95039 - 1.109849 * exp(-1.0 * x1 ** 2.0) - 1.109849 * exp(-1.0 * x0 ** 2.0),3.0,19.0,saturated,2.0,0.0,0.0,2.0,408.3449160098098,127.09375,2.0,24.0,1.109849 * (1.7573471706511425 - exp(-1.0 * x1 ** 2.0) - exp(-1.0 * x0 ** 2.0)),saturated,2.0,0.0,0.0,2.0,932.9739999957384,143.4375,2.0,24.0,1.109849 * (1.7573471706511425 - exp(-1.0 * x1 ** 2.0) - exp(-1.0 * x0 ** 2.0)),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,93,GOMEA,4,sympy,GP-GOMEA,3.0,1.95039 - 1.109745 * exp(-1.0 * x1 ** 2.0) - 1.1099602365778 * exp(-1.0 * x0 ** 2.0),3.0,19.0,saturated,3.0,0.0,0.0,3.0,47.15700002270751,109.75,1.0,148.0,1.95039 - 1.109745 * exp(-1.0 * x1 ** 2.0) - 1.1099602365778 * exp(-1.0 * x0 ** 2.0),saturated,3.0,0.0,0.0,3.0,83.21012498345226,111.78125,1.0,495.0,1.95039 - 1.109745 * exp(-1.0 * x1 ** 2.0) - 1.1099602365778 * exp(-1.0 * x0 ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,94,GOMEA,5,sympy,GP-GOMEA,3.0,1.950365 - 1.102849 * exp(-1.0 * x1 ** 2.0) - 1.1172796328829 * exp(-1.0 * x0 ** 2.0),3.0,19.0,saturated,3.0,0.0,0.0,3.0,37.825125007657334,109.515625,1.0,148.0,1.950365 - 1.102849 * exp(-1.0 * x1 ** 2.0) - 1.1172796328829 * exp(-1.0 * x0 ** 2.0),saturated,3.0,0.0,0.0,3.0,81.70608300133608,104.78125,1.0,536.0,1.950365 - 1.102849 * exp(-1.0 * x1 ** 2.0) - 1.1172796328829 * exp(-1.0 * x0 ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,104,GOMEA,15,sympy,GP-GOMEA,3.0,1.95039 - 1.109582 * exp(-1.0 * x1 ** 2.0) - 1.11013465996109 * exp(-1.0 * x0 ** 2.0),3.0,19.0,saturated,3.0,0.0,0.0,3.0,40.02283400041051,109.71875,1.0,138.0,1.95039 - 1.109582 * exp(-1.0 * x1 ** 2.0) - 1.11013465996109 * exp(-1.0 * x0 ** 2.0),saturated,3.0,0.0,0.0,3.0,95.4400830087252,111.453125,1.0,413.0,1.95039 - 1.109582 * exp(-1.0 * x1 ** 2.0) - 1.11013465996109 * exp(-1.0 * x0 ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,90,GOMEA,1,sympy,GP-GOMEA,3.0,1.950385 - 1.107514 * exp(-1.0 * x1 ** 2.0) - 1.11234982803047 * exp(-1.0 * x0 ** 2.0),3.0,19.0,saturated,3.0,0.0,0.0,3.0,44.289125013165176,108.796875,1.0,148.0,1.950385 - 1.107514 * exp(-1.0 * x1 ** 2.0) - 1.11234982803047 * exp(-1.0 * x0 ** 2.0),saturated,3.0,0.0,0.0,3.0,99.29424998699687,112.125,1.0,450.0,1.950385 - 1.107514 * exp(-1.0 * x1 ** 2.0) - 1.11234982803047 * exp(-1.0 * x0 ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
pagie,105,GOMEA,16,sympy,GP-GOMEA,3.0,1.950383 - 1.106588 * exp(-1.0 * x1 ** 2.0) - 1.11333486172906 * exp(-1.0 * x0 ** 2.0),3.0,19.0,saturated,3.0,0.0,0.0,3.0,35.906707984395325,109.015625,1.0,148.0,1.950383 - 1.106588 * exp(-1.0 * x1 ** 2.0) - 1.11333486172906 * exp(-1.0 * x0 ** 2.0),saturated,3.0,0.0,0.0,3.0,80.02633298747241,100.078125,1.0,410.0,1.950383 - 1.106588 * exp(-1.0 * x1 ** 2.0) - 1.11333486172906 * exp(-1.0 * x0 ** 2.0),na,na,na,na,na,na,na,na,na,na,na,na,na,False,False,0.0,0.0,False,False,False,False,False,False,False,unchanged_ranked,na
