dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,n_rank,before_params,after_params,rank_gap,simpl_parsed_n_params,parsed_rank_gap,runtime_ms,peak_rss_mb,passes,egraph_total_size,egraph_nodes,eclass_count,extracted_cost,rendered
kotanchek,26,Bingo,26,sympy,Bingo,(((0.5185123293134022 * x0 + 0.13470217521610287) * (0.0008622481242864235 * exp(x0) - 2.0 * log(x0 + exp(x0))) - 0.11848913269441189 * exp(x0)) * (0.6964203985908678 * exp(x0) - 2.0 * log(x0 + exp(x0))) + 0.2497806421525048 * exp(2.0 * x0)) * exp(-2.0 * x0),6.0,21.0,5.0,6.0,6.0,1.0,6.0,1.0,2810.8872919983696,187.34375,2.0,9776.0,na,na,39.0,0.2497806421525048 + -0.08251824901972855 * (exp(x0) + 8.752065569602333 * (x0 + 0.25978586737652176) * (log(x0 + exp(x0)) + -0.0004311240621432117 * exp(x0))) * (exp(x0) + -2.8718285737275733 * log(x0 + exp(x0))) * exp(-2.0 * x0)
pagie,23,Bingo,23,sympy,Bingo,0.06435725235582418 * x0 / log(3566206920.7839065 / (x0 * x1)) - 5.64393372152411 + 148.7679975624414 / log(3566206920.7839065 / (x0 * x1)) + 0.002708862303985314 / x1,6.0,23.0,4.0,6.0,5.0,1.0,5.0,1.0,1417.1725829946809,152.28125,2.0,2421.0,na,na,18.0,(148.7679975624414 + x0 / 15.538264350863052) / log(3566206920.7839065 / (x0 * x1)) + -5.64393372152411 + 0.002708862303985314 / x1
kotanchek,166,SBP,17,sympy,SBP,x0 * (0.662680172064 - 0.331340086032 * x0) * (0.180440274269217 * x0 - 1.0) ** 2.0 + 0.010788 * x0 + 0.032364 * x1 + 0.109511788,6.0,25.0,3.0,6.0,4.0,1.0,4.0,1.0,8744.130416976986,226.859375,2.0,9188.0,na,na,21.0,0.010788 * (x0 + x0 * (x0 + -5.541999999999997) ** 2.0 * (2.0 - x0)) + 0.032364 * x1 + 0.109511788
pagie,165,SBP,15,original,SBP,1.139001 + 0.01085 * ((x0 * x0 - (-6.659 + x0)) * (-12.488 + x0) - (13.571 - (exp(x0) - x0) - (x1 * 14.814 - exp(x1)))),6.0,26.0,4.0,6.0,5.0,1.0,5.0,1.0,2124.8506249976344,198.46875,2.0,83.0,na,na,27.0,0.01085 * (x1 * 14.814 - x0 + 91.40605069124423 + exp(x0) + ((x0 * x0 + 6.659 - x0) * (-12.488 + x0) - exp(x1)))
pagie,176,SBP,26,sympy,SBP,0.455914378864642 * x0 * exp(-1.0 * x0 ** 2.0 + 1.0 * x0) - 0.001527 * x1 * exp(x1) + 0.0886467577217386 * x1 + 0.001527 * x1 * exp(-16.248 * x0) - 0.06855,6.0,26.0,4.0,6.0,5.0,1.0,5.0,1.0,3436.875457991846,192.546875,2.0,11196.0,na,na,26.0,0.001527 * (x1 * (exp(-16.248 * x0) - -58.0528865237319 - exp(x1)) - -298.56868294999475 * (exp(x0 - x0 ** 2.0) * x0) - 44.89194499017682)
pagie,179,SBP,29,original,SBP,0.105238 - 0.004516 * (x0 - x0 * ((x1 - 5.432) * x1 + x1) * (x0 - x1 - 3.749) * (exp(2.638 - x0) - 1.033)),6.0,28.0,4.0,6.0,6.0,2.0,6.0,2.0,171.90487499465237,119.453125,2.0,126.0,na,na,28.0,0.105238 - 0.004516 * (x0 - x0 * ((x1 - 5.432) * x1 + x1) * (x0 - x1 - 3.749) * (13.985205208250427 / exp(x0) - 1.033))
pagie,172,SBP,22,original,SBP,0.179028 - 0.00963 * (exp(x0 * -15.767) + (exp(x1) - ((x0 + (x0 + x0) - 18.776) * x0 + 18.776) * x0 + -14.972 * x1)),6.0,29.0,4.0,6.0,6.0,2.0,6.0,2.0,2783.6021660186816,189.703125,2.0,12839.0,na,na,29.0,0.179028 - 0.00963 * (exp(x1) - ((x0 + (x0 + x0) - 18.776) * x0 + 18.776) * x0 - (14.972 * x1 - exp(x0 * -15.767)))
pagie,52,EPLEX,23,sympy,EPLEX,log(abs(-0.181476 * log(abs(0.433)) - log(abs((x1 * (0.455625 * x0 ** 2.0 + 0.2386768) + 0.0489999999999999) * log(abs(0.005177690125)) ** 2.0)))),6.0,29.0,3.0,6.0,4.0,1.0,4.0,1.0,158.6893749772571,118.96875,2.0,28.0,na,na,17.0,log(abs(0.15189859708158246 - log(abs(12.622334297124139 * (x1 * (x0 ** 2.0 + 0.5238448285322359) + 0.10754458161865547)))))
pagie,169,SBP,19,sympy,SBP,((0.160826 * x0 * ((x0 + 13.585) * exp(x1 ** 2.0) - 16.860944986089) + (0.160826 * x0 + 0.45433345) * exp(x1 ** 2.0)) * exp(x0 ** 2.0 - exp(x0)) + 0.012782 * exp(x1 ** 2.0)) * exp(-1.0 * x1 ** 2.0),6.0,29.0,4.0,6.0,5.0,1.0,5.0,1.0,2141.5097919816617,179.203125,2.0,6455.0,na,na,28.0,0.012782 + (x0 * (14.585 + x0 + -16.860944986089 * exp(-1.0 * x1 ** 2.0)) + 2.825) * 0.160826 * exp(x0 ** 2.0 - exp(x0))
pagie,163,SBP,13,sympy,SBP,-0.08391322 * x0 ** 2.0 + 0.11393234 * x0 + 0.15719644 * x1 + 0.01063 * exp(x0) - 0.01063 * exp(x1) + 0.103875,6.0,33.0,4.0,6.0,5.0,1.0,5.0,1.0,4976.137874997221,218.890625,2.0,9887.0,na,na,23.0,-0.01063 * (exp(x1) - exp(x0)) + (-0.08391322 * x0 ** 2.0 + 0.11393234 * x0 + 0.15719644 * x1) + 0.103875
pagie,45,EPLEX,16,sympy,EPLEX,log(abs(0.831726022794283 * log(abs(-3.3112582781457 * log(abs(log(abs(-0.021)) - 0.607 * exp(1.8450184501845 * log(abs(2.23713646532438 * x1 * exp(log(abs(x0)))))))))) ** 2.0)),6.0,33.0,5.0,6.0,6.0,1.0,6.0,1.0,160.80258300644346,118.9375,2.0,53.0,na,na,29.0,log(abs(0.831726022794283 * log(abs(-3.3112582781457 * log(abs(-0.607 * (exp(1.8450184501845 * log(abs(2.23713646532438 * x1 * exp(log(abs(x0)))))) + 6.364469260722758))))) ** 2.0))
kotanchek,20,Bingo,20,sympy,Bingo,((0.1263993583106448 - 0.03309619870833754 * x0) * exp(x0 ** 2.0) + 0.03309619870833754 * (x0 ** 2.0 + 0.03907279509253594) * (7.53747357012547 * x1 + 15.272972634101004)) * exp(-1.0 * x0 ** 2.0),6.0,34.0,4.0,6.0,5.0,1.0,5.0,1.0,4363.988458004314,223.109375,2.0,7229.0,na,na,24.0,0.1263993583106448 + -0.03309619870833754 * x0 + 0.24946172303571493 * ((x0 ** 2.0 + 0.03907279509253594) * (x1 + 2.026272131107024)) * exp(-1.0 * x0 ** 2.0)
kotanchek,26,Bingo,26,original,Bingo,0.2497806421525048 + (-0.6964203985908678 + 2.0 * (exp(x0) ** (-1.0) * log(abs(x0 + exp(x0))))) * (0.11848913269441189 + (0.13470217521610287 + 0.5185123293134022 * x0) * (-0.0008622481242864235 + 2.0 * (exp(x0) ** (-1.0) * log(abs(x0 + exp(x0)))))),6.0,36.0,5.0,6.0,6.0,1.0,6.0,1.0,175.2734580077231,120.484375,2.0,56.0,na,na,37.0,0.2497806421525048 + 2.0740493172536087 * (exp(x0) ** (-1.0) * log(abs(x0 + exp(x0))) + -0.3482101992954339) * ((exp(x0) ** (-1.0) * log(abs(x0 + exp(x0))) + -0.00043112406214321176) * (x0 + 0.25978586737652176) + 0.11425874178470499)
pagie,5,Bingo,6,sympy,Bingo,0.0885895005060784 * log((-1.0 * x0 ** 2.0 + x1 * (x0 + 28890.10432966032) * (0.00031788258514714706 * x0 ** 2.0 * x1 + 1.921452087284219e-06)) ** 2.0 / (3.461392830531733e-05 * x0 + 1.0) ** 2.0) + 0.7156288226929969,6.0,37.0,5.0,6.0,6.0,1.0,6.0,1.0,3411.1172500124667,162.609375,2.0,7757.0,na,na,32.0,0.0885895005060784 * (28.620540840391467 + log((x0 ** 2.0 + x1 * (x0 + 28890.10432966032) * (-0.00031788258514714706 * (x1 * x0 ** 2.0 + 0.006044533979094147))) ** 2.0 / (x0 + 28890.104329660317) ** 2.0))
