dataset,raw_index,algorithm_raw,algorithm,algo_row,is_paper_row,drop_reason,original_expr,sympy_expr,raw_csv_index,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,n_params,n_rank
pagie,22,Bingo,Bingo,23,1,kept,-5.64393372152411 + (0.002708862303985314)*((x1)^(-1)) + (-0.06435725235582418)*((-2311.5964730737646 - (x0))*((plog((3566206920.7839065)*(((x0)^(-1))*((x1)^(-1)))))^(-1))),0.06435725235582418*x0/log(3566206920.7839065/(x0*x1)) - 5.64393372152411 + 148.7679975624414/log(3566206920.7839065/(x0*x1)) + 0.002708862303985314/x1,22,27.0,5.0,23.0,5.0,27.0,6.0,27.0,6.0,5.0,4.0
pagie,23,Bingo,Bingo,24,1,kept,(plog(0.8889056731853394))*(-25.375926540572554 + (-2.4339755472913582)*(plog((x0)*(x1))) + plog((-4625426.158330705)*((plog((plog(0.8889056731853394 + (0.8889056731853394)*(0.8889056731853394)))*((x1)^(-1))))^(-1)))),0.28663506996925448*log(x0*x1) - 0.1177641535011456*log(-4625426.158330705/log(0.5182334989833757/x1)) + 2.9883745083577819,23,29.0,5.0,23.0,5.0,23.0,6.0,21.0,5.0,5.0,4.0
pagie,24,Bingo,Bingo,25,1,kept,exp((-2.377396411352944)*(((-10.503285479940024 - (plog((0.14985143797609368)*(x0))))^(-1))*(plog((1.4308910409656768)*((x0)*(x1)))))),exp(2.377396411352944*(log(x0*x1) + 0.3582973557925481)/(log(x0) + 8.6051745907779115)),24,20.0,4.0,19.0,4.0,16.0,3.0,16.0,3.0,4.0,3.0
pagie,25,Bingo,Bingo,26,1,kept,-1668.413725381717 + (0.35562720568200606)*(4695.7060144269335 + plog(x1) - (exp(1 - ((x0)*(x0))))),-0.35562720568200606*exp(1 - x0**2) + 0.35562720568200606*log(x1) + 1.5070832331229962,25,16.0,4.0,16.0,4.0,18.0,5.0,13.0,3.0,3.0,2.0
pagie,26,Bingo,Bingo,27,1,kept,(0.3423580139257516)*(plog(0.45123069569900626 + (x0)*(((-1)*(-0.4457591552950685))*(((x1)^(-1))*((24.139650704131938 + (-0.8538385588541292)*((x1)*(x1)) + (-6.699001432126425)*(plog((-0.4457591552950685)*((x1)^(-1)))))^(-1))) + (x1)*(24.139650704131938 + (-0.8538385588541292)*((x1)*(x1)) + (-6.699001432126425)*(plog((-0.4457591552950685)*((x1)^(-1)))))))),0.3423580139257516*log((-x0*(873.33762693716456*x1**2*(0.028892470433989278*x1**2 + 0.22668301730799557*log(-1/x1) - 1)**2 + 0.4457591552950685) + 0.45123069569900626*x1*(0.8538385588541292*x1**2 + 6.699001432126425*log(-1/x1) - 29.552286323348394))/(x1*(0.8538385588541292*x1**2 + 6.699001432126425*log(-1/x1) - 29.552286323348394))),26,53.0,11.0,49.0,11.0,77.0,20.0,60.0,14.0,11.0,8.0
pagie,27,Bingo,Bingo,28,1,kept,17.519637627145645 + (-3.529837319764648)*(((plog(-3.3162197817782353 + (76.20364329715497)*((plog((900226.4764680645)*((x0)*(x1))))^(-1))))^(-1))*(plog((-3.139766204630333)*(((x0)^(-1))*(((x1)^(-1))*(plog((900226.4764680645)*((x0)*(x1))))))))),17.519637627145645 - 3.529837319764648*log(-3.139766204630333*log(x0*x1)/(x0*x1) - 43.04745575625259/(x0*x1))/log(-3.3162197817782353*log(x0*x1)/(log(x0*x1) + 13.71040165117035) + 30.736938125418861/(log(x0*x1) + 13.71040165117035)),27,41.0,7.0,37.0,7.0,55.0,10.0,43.0,7.0,7.0,7.0
pagie,28,Bingo,Bingo,29,1,kept,(0.3382730532836002)*(plog((29.00794352451898)*((x0)*(x1)) + plog((x0)*((x1)^(-1))))),0.3382730532836002*log(29.00794352451898*x0*x1 + log(x0/x1)),28,17.0,2.0,16.0,2.0,15.0,2.0,15.0,2.0,2.0,2.0
pagie,29,Bingo,Bingo,30,1,kept,-898.2527636513965 + (0.02326886317119297)*(38602.20758467466 + (-0.29487720453886)*((x1)*(x1)) + (-7.02786264521437 - (plog((x0)*(x1))))*(-7.02786264521437 - (plog((x0)*(x1))))),-0.006861457324718616*x1**2 + 1.149269008742285*(0.142290771815376*log(x0*x1) + 1)**2 - 0.0232772576143816,29,27.0,6.0,25.0,5.0,27.0,6.0,25.0,5.0,6.0,4.0
pagie,30,EPLEX,EPLEX,1,1,kept,plog(plog((((exp(-0.95)*exp((1.068/(-1.306))))/((((0.684^3)/(-0.404))^3)+((-0.084+(-1.077*(x1+exp(-1.751))))*(x1-(-0.422^2)))))/((-0.991^3)+(exp(-0.98)-(x0^2)))))),plog(plog(0.170714251278031/((x0**2 + 0.5979311721486)*((x1 + 0.178084)*(1.077*x1 + 0.270967476105117) + 0.497005071270832)))),30,29.0,9.0,22.0,6.0,23.0,6.0,20.0,5.0,10.0,4.0
pagie,31,EPLEX,EPLEX,2,0,missing_rank,(exp((((plog(x0)-exp((exp((plog(x0)/exp(((exp((plog(x1)-exp(-0.756)))^3)^3))))/plog((plog(((((x1^3)^2)+plog((plog(((plog(x0)+plog(((exp(-0.771)+plog(((0.292+plog((((((-0.441-((x1^3)^3))^3)^3)-0.24)^3)))^3)))^3)))^3))^3)))^3))^3)))))^3)/exp((plog(x1)-(0.465^2)))))+0.904),exp(1.24138165845371*(plog(x0) - exp(exp(plog(x0)*exp(-0.0146126519824622*exp(9*plog(x1))))/plog(plog((x1**6 + plog(plog((plog(x0) + plog((plog((plog(-((x1**9 + 0.441)**9 + 0.24)**3) + 0.292)**3) + 0.462550286672301)**3))**3)**3))**3)**3)))**3*exp(-plog(x1))) + 0.904,31,89.0,7.0,73.0,7.0,87.0,11.0,74.0,10.0,,
