dataset,raw_index,algorithm_raw,algorithm,algo_row,is_paper_row,drop_reason,original_expr,sympy_expr,raw_csv_index,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,n_params,n_rank
kotanchek,33,EPLEX,EPLEX,4,1,kept,((0.002+((0.192*(-1.412+plog(((x0*0.268)-exp(-1.569)))))^2))*(((x1*(-0.008+plog(((x1*0.384)-exp(exp(-0.001))))))*0.4)+0.096)),(0.4*x1*(plog(0.384*x1 - 2.71556626264888) - 0.008) + 0.096)*(0.073497378816*(0.708215297450425*plog(0.268*x0 - 0.208253331596652) - 1)**2 + 0.002),33,31.0,10.0,30.0,10.0,33.0,11.0,30.0,10.0,10.0,7.0
kotanchek,34,EPLEX,EPLEX,5,0,missing_rank,exp(((x0-(exp((((0.23*x1)^3)+((x0-(0.038+plog(x1)))*0.479)))+(0.626^3)))-(exp((plog(0.499)+plog(x0)))^3))),0.782458513394134*exp(x0 - exp(3*plog(0.499) + 3*plog(x0)) - 0.981962655866465*exp(0.479*x0 + 0.012167*x1**3 - 0.479*plog(x1))),34,32.0,5.0,28.0,5.0,36.0,8.0,30.0,6.0,,
kotanchek,35,EPLEX,EPLEX,6,1,kept,exp(((((plog((-0.452-(x1*exp((((-0.248*(x1*((-1.017^2)^2)))^3)-x0)))))*x0)-(exp((plog((exp((exp(-0.67)-x0))-(x1*exp((-0.373-x0)))))-(-0.991^3)))-exp((-1.273-x0))))*x0)-(exp(((exp((-0.864^3))-x0)-x0))-(0.012^3)))),1.00000172800149*exp((x0*((x0*plog((-x1 - 0.452*exp(x0 + 0.0186726723867845*x1**3))*exp(-x0 - 0.0186726723867845*x1**3)) - 2.64651127063146*exp(plog((1.66813890656534 - 0.688665232843956*x1)*exp(-x0))))*exp(x0) + 0.279990389392548)*exp(x0) - 1.68991282952018)*exp(-2*x0)),35,54.0,10.0,49.0,8.0,67.0,14.0,57.0,11.0,9.0,7.0
kotanchek,36,EPLEX,EPLEX,7,0,missing_rank,((plog(plog(((0.397-0.57)-((0.429-0.475)-((plog(((plog((exp(0.002)*0.475))-x1)-(((x0-((plog(plog(((0.645-0.65)-(exp((x0*((0.429-0.26)-0.171)))/(plog(exp(exp(exp(exp(x1)))))^3)))))^3)*0.178))^2)^2)))*0.421)/exp(exp(0.226)))))))^2)*0.222),0.222*plog(plog(0.120187998184854*plog(-x1 - (x0 - 0.178*plog(plog(-0.005 - exp(-0.00200000000000003*x0)/plog(exp(exp(exp(exp(x1)))))**3))**3)**4 + plog(0.47595095063365)) - 0.127))**2,36,54.0,9.0,43.0,7.0,52.0,9.0,44.0,8.0,,
kotanchek,37,EPLEX,EPLEX,8,1,kept,(((((x1*(((((exp(0.056)^3)-(((x0-0.738)+(exp(exp(0.0))/(exp((0.276*x0))^3)))-0.007))*0.682)+0.84)*exp(0.014)))*exp(plog((exp(0.008)-(x1-(x1*0.787))))))/exp((0.369*((x0-0.953)+(exp(exp(0.0))/exp(exp((0.936*x0))))))))-plog(-0.877))^2),2.02043735428491*(x1*((0.691615148996052*x0 - 2.18523287173646)*exp(0.828*x0) + 0.691615148996052*E)*exp(-(0.369*x0*exp(exp(0.936*x0)) + 0.369*E)*exp(-exp(0.936*x0)) + plog(1.00803208550427 - 0.213*x1)) + 0.703521388433011*plog(-0.877)*exp(0.828*x0))**2*exp(-1.656*x0),37,56.0,15.0,42.0,12.0,67.0,18.0,58.0,15.0,15.0,9.0
kotanchek,38,EPLEX,EPLEX,9,1,kept,((x1+x0)*(0.314*((x1+0.335)/exp((x1-((0.098-(0.184/exp(((exp((((0.146^3)-x0)-(exp((0.196-x1))-exp(0.107))))-0.178)-x0))))+(x0/exp(((x0-1.218)+(exp(((exp(0.336)-x1)*x1))-0.023)))))))))),0.346330314524071*(x0 + x1)*(x1 + 0.335)*exp((3.45907080661025*x0 - (x1 + 0.219847859107203*exp(x0 - 3.05276088841039*exp(-(x0*exp(x1) + 1.21652690533432)*exp(-x1))))*exp(x0 + exp(x1*(1.39933902481093 - x1))))*exp(-x0 - exp(x1*(1.39933902481093 - x1)))),38,49.0,11.0,47.0,10.0,60.0,11.0,58.0,10.0,11.0,7.0
kotanchek,39,EPLEX,EPLEX,10,0,missing_rank,(0.63/exp(exp(plog((plog((((x1+0.735)*x0)/((x0*x0)+0.836)))-((exp(x0)-((-0.084/((plog(((exp(x0)-((-0.052/x0)^2))*0.109))-x0)*plog(0.327)))^2))*0.205)))))),0.63*exp(-exp(plog(plog(x0*x1/(x0**2 + 0.836) + 0.735*x0/(x0**2 + 0.836)) - 0.205*exp(x0) + 0.00144648/((x0 - plog(0.109*exp(x0) - 0.000294736/x0**2))**2*plog(0.327)**2)))),39,51.0,10.0,39.0,7.0,59.0,10.0,40.0,8.0,,
kotanchek,40,EPLEX,EPLEX,11,1,kept,(((((exp((-0.768-x0))*(1.168*(x0/(-0.199))))^3)^2)+(x1*exp((-1.208-x0))))/((1.584*(exp((-1.119-x0))*x1))+((exp(x0)*(0.647*exp((x0*(exp((0.044-x0))*(0.734*(x1/(-0.158))))))))+1.494))),(407.670818757734*x0**6 + 0.298794270781101*x1*exp(5*x0))*exp(x0*(4.85453828157037*x1*exp(-x0) - 5))/(0.517344280377334*x1*exp(4.85453828157037*x0*x1*exp(-x0)) + 0.647*exp(2*x0) + 1.494*exp(x0*(4.85453828157037*x1*exp(-x0) + 1))),40,51.0,11.0,45.0,9.0,67.0,15.0,64.0,14.0,11.0,5.0
kotanchek,41,EPLEX,EPLEX,12,1,kept,(((1.094^2)*(x1+(0.398/exp(((x1+0.021)+x1)))))/(exp((((0.301^2)*(((((0.479^2)*(x1-0.212))*(x1-0.272))^2)+exp(x0)))/0.438))-(-0.946/exp((plog((-0.231-(0.284/exp(((1.129-x0)^2)))))-((1.129-x0)^2)))))),(1.196836*x1*exp(2*x1) + 0.466441874454423)*exp(-2*x1)/(exp(0.0108893243606189*(x1 - 0.272)**2*(x1 - 0.212)**2 + 0.206851598173516*exp(x0)) + 0.946*exp(1.274641*(0.885739592559787*x0 - 1)**2 - plog((-0.231*exp(x0*(1.0*x0 - 2.258)) - 0.0793868897531823)*exp(x0*(2.258 - 1.0*x0))))),41,56.0,14.0,49.0,12.0,72.0,18.0,65.0,16.0,13.0,10.0
kotanchek,42,EPLEX,EPLEX,13,1,kept,((((x0^3)+(0.063*(1.448^3)))/(4.117+((x0^3)^3)))+(0.468*(0.455*(x1*(((0.221+(x0^3))/(0.956+((x0^2)^3)))+((0.269*0.303)/(0.657+((x0^3)^3)))))))),0.21294*x1*((x0**3 + 0.221)/(x0**6 + 0.956) + 0.081507/(x0**9 + 0.657)) + (x0**3 + 0.191269725696)/(x0**9 + 4.117),42,43.0,8.0,33.0,7.0,35.0,7.0,30.0,7.0,9.0,7.0
kotanchek,43,EPLEX,EPLEX,14,1,kept,(plog(exp((exp(((-0.425*x0)^3))^3)))/exp((((((-1.445^2)/(0.951-(-0.668^3)))-(-0.003+plog(((x1+0.327)+0.383))))-(-0.39+((-0.795^3)/(((-0.668^2)/(1.455-(-0.004+(-0.448^3))))-(-0.264+plog(((x1-(exp(((-0.273*(-0.286))^3))^3))-plog((x1+0.912)))))))))-x0))),3.59180012268391*plog(exp(exp(-0.230296875*x0**3)))*exp(((x0 + plog(x1 + 0.71))*(plog(x1 - plog(x1 + 0.912) - 1.00142895121963) + 0.0240880403827765) + 0.502459875)/(plog(x1 - plog(x1 + 0.912) - 1.00142895121963) + 0.0240880403827765)),43,48.0,12.0,38.0,8.0,52.0,11.0,49.0,10.0,16.0,1.0
kotanchek,44,EPLEX,EPLEX,15,1,kept,plog(((1.116+plog(((1.045-(-0.287^2))+0.176)))-(x0*((-0.057*(x1/plog(((((x1^3)+exp((x0^3)))/((-0.083+(x1+(plog(-0.146)^3)))^3))-1.194))))+0.071)))),plog(0.057*x0*x1/plog(x1**3/(x1 + plog(-0.146)**3 - 0.083)**3 - 1.194 + exp(x0**3)/(x1 + plog(-0.146)**3 - 0.083)**3) - 0.071*x0 + plog(1.303369) + 1.116),44,42.0,8.0,27.0,5.0,54.0,9.0,32.0,6.0,9.0,5.0
kotanchek,45,EPLEX,EPLEX,16,0,missing_rank,exp(plog(((x0+(0.989*((0.253+0.635)-(exp(plog(0.367))*(x0^2)))))/(((1.15-x1)+((plog((0.184*(x1-x0)))+(x0^2))^2))+plog(((plog((exp(exp(exp(plog((plog(exp(plog((plog((plog((0.706+x1))^2))*plog(0.591)))))*exp(-0.338))))))^2))^2)^2)))))),exp(plog((-0.989*x0**2*exp(plog(0.367)) + x0 + 0.878232)/(-x1 + (x0**2 + plog(-0.184*x0 + 0.184*x1))**2 + plog(plog(exp(2*exp(exp(plog(0.713195287898282*plog(exp(plog(plog(0.591)*plog(plog(x1 + 0.706)**2)))))))))**4) + 1.15))),45,71.0,8.0,51.0,7.0,77.0,13.0,51.0,8.0,,
kotanchek,46,EPLEX,EPLEX,17,0,missing_rank,exp((plog(plog(plog(0.839)))-(exp((plog((plog((0.634+x1))-(exp((plog(exp((plog(0.663)-x1)))/(plog(plog(1.051))/(plog((x1-(0.373+((((0.893+(plog(0.686)+(3.064/x1)))+plog(plog(plog(1.038))))/x1)+exp((plog(0.2)+x1))))))/2.868))))+((1.016-x0)^2))))/0.996))+0.813))),0.44352549188521*exp(plog(plog(plog(0.839))) - exp(1.00401606425703*plog(-1.032256*(0.984251968503937*x0 - 1)**2 + plog(x1 + 0.634) - exp(0.348675034867504*plog(-(x1**2*(-x1 + exp(x1 + plog(0.2)) + 0.373) + x1*(plog(0.686) + plog(plog(plog(1.038))) + 0.893) + 3.064)/x1**2)*plog(exp(-x1 + plog(0.663)))/plog(plog(1.051)))))),46,78.0,14.0,49.0,11.0,96.0,20.0,57.0,13.0,,
kotanchek,47,EPLEX,EPLEX,18,0,missing_rank,exp((((x0*exp(exp(-0.535)))-exp((x0*0.752)))-exp((((0.536-plog(-0.703))-(plog(exp(plog(exp(exp(plog((x1/plog(exp(exp((-0.409*plog(exp(exp(x1))))))))))))))*((exp(-0.405)^3)+0.002)))/exp(x1))))),exp(1.79619275753877*x0 - exp(0.752*x0) - exp((-plog(-0.703) - 0.298710014294045*plog(exp(plog(exp(exp(plog(x1/plog(exp(exp(-0.409*plog(exp(exp(x1)))))))))))) + 0.536)*exp(-x1))),47,46.0,7.0,36.0,5.0,50.0,9.0,38.0,6.0,,
kotanchek,48,EPLEX,EPLEX,19,1,kept,(exp(((plog((-0.446-x0))-x0)^3))/((exp((0.936+(0.405+((-0.841-x0)*exp((-0.009-plog((((plog(((0.055-x1)-x1))-0.527)^3)-(0.172-plog(0.434))))))))))-plog(0.161))-plog(((plog(((plog((0.152-0.013))-0.944)-x0))-x0)-x1)))),-exp(-(x0 - plog(-x0 - 0.446))**3)/(plog(0.161) + plog(-x0 - x1 + plog(-x0 + plog(0.139) - 0.944)) - 3.82286445903012*exp(-(0.991040378772884*x0 + 0.833464958547995)*exp(-plog((plog(0.055 - 2*x1) - 0.527)**3 + plog(0.434) - 0.172)))),48,62.0,12.0,48.0,9.0,74.0,19.0,52.0,12.0,12.0,9.0
kotanchek,49,EPLEX,EPLEX,20,0,missing_rank,((0.64/(exp((0.176/(plog(plog((0.613/0.023)))/(x0^3))))-(0.096-(2.5/exp((x0/0.331))))))/(0.047-plog(((-0.555+plog((0.189-exp((0.343/exp(x1))))))^3)))),-0.64*exp(3.02114803625378*x0)/(((exp(0.176*x0**3/plog(plog(26.6521739130435))) - 0.096)*exp(3.02114803625378*x0) + 2.5)*(plog((plog(0.189 - exp(0.343*exp(-x1))) - 0.555)**3) - 0.047)),49,41.0,10.0,35.0,10.0,50.0,13.0,40.0,11.0,,
kotanchek,50,EPLEX,EPLEX,21,1,kept,exp((0.108+plog(((x1+0.553)*(exp((x0+plog(plog(((exp((x1+plog(plog(((0.212/(plog(0.252)^2))+(-1.105*exp(((0.282^2)^2))))))))/exp(-1.087))+(-1.087*exp(((0.06^2)^2))))))))/((0.363^2)-exp((((0.197*plog(((0.594-plog((exp(x0)^3)))^3)))^3)*x0)))))))),1.11404774538647*exp(plog((-x1 - 0.553)*exp(x0 + plog(plog(2.9653646212045*exp(x1 + plog(plog((0.212 - 1.11201023680478*plog(0.252)**2)/plog(0.252)**2))) - 1.08701408761129)))/(exp(0.007645373*x0*plog(-(plog(exp(3*x0)) - 0.594)**3)**3) - 0.131769))),50,58.0,10.0,43.0,8.0,68.0,14.0,44.0,10.0,12.0,7.0
kotanchek,51,EPLEX,EPLEX,22,0,missing_rank,(exp(((x1/((0.195+exp(((((((1.003^2)^3)-x1)^2)/(((exp((exp((plog(0.388)-(exp((plog(plog((plog(x0)-0.98)))-0.955))^3)))^3))^2)+1.731)^2))^2)))^2))/exp(((-0.012^3)^3))))/(((exp((exp((plog(x0)-exp(((-0.245^3)^3))))^3))^2)+exp(exp((exp(((-0.44^3)-exp(x0)))-0.974))))^2)),exp(1.0*x1/(exp(0.119683455869117*(0.9821874981451*x1 - 1)**4/(0.577700751010976*exp(2*exp(3*plog(0.388) - 0.170949393396102*exp(3*plog(plog(plog(x0) - 0.98))))) + 1)**4) + 0.195)**2)/(exp(0.0995750868239738*exp(3*plog(x0))) + exp(0.377569734575778*exp(0.91834329368875*exp(-exp(x0)))))**2,51,68.0,9.0,56.0,9.0,72.0,17.0,64.0,16.0,,
kotanchek,52,EPLEX,EPLEX,23,1,kept,exp((((x0/(((x1+((-0.218-1.122)^3))^2)+(((x0/(1.193^3))^2)+0.288)))+(-0.144-(0.048+0.5)))-exp(((x0/(-0.717-(0.552+1.222)))^2)))),0.500573919411628*exp((x0 - (0.346862490451608*x0**2 + 5.789336458816*(0.415609632833826*x1 - 1)**2 + 0.288)*exp(0.161158250794792*x0**2))/(0.346862490451608*x0**2 + 5.789336458816*(0.415609632833826*x1 - 1)**2 + 0.288)),52,25.0,5.0,22.0,5.0,47.0,12.0,42.0,12.0,5.0,5.0
kotanchek,53,EPLEX,EPLEX,24,1,kept,((0.726^3)*((x1/exp((((plog((exp(1.026)-0.052))-x0)+exp(plog(-0.001)))^2)))+(((x1/((x1/exp(0.162))-(plog((0.729*(plog(0.068)^2)))^3)))+0.272)/exp((((plog((exp(plog(plog(0.107)))+(0.131/0.684)))-x0)+0.135)^2))))),0.382657176*x1*exp(-(-x0 + plog(2.73788395003878) + exp(plog(-0.001)))**2) + 0.382657176*(x1/(0.850441204540233*x1 - plog(0.729*plog(0.068)**2)**3) + 0.272)*exp(-(-x0 + plog(exp(plog(plog(0.107))) + 0.191520467836257) + 0.135)**2),53,55.0,10.0,29.0,8.0,65.0,15.0,29.0,8.0,11.0,6.0
kotanchek,54,EPLEX,EPLEX,25,1,kept,(-0.001+(exp(((-0.076*exp(x0))+(plog(-0.313)+(x0/exp((x0+((-0.016*x0)-(x1/(((-0.046*exp(x1))+((-0.041*(((-0.016*((-0.009+0.447)*x0))*(-0.038))-0.092))+(0.938*(exp((-0.079+(plog(x1)+plog(-0.224))))-0.841))))/(-0.433))))))))))^2)),exp(2*x0*exp((-0.984*x0*(2.52158521939954e-5*x0 + 0.106235565819861*exp(x1) - 2.00173082939836*exp(plog(-0.224) + plog(x1)) + 1.81313163972286) + x1)/(2.52158521939954e-5*x0 + 0.106235565819861*exp(x1) - 2.00173082939836*exp(plog(-0.224) + plog(x1)) + 1.81313163972286)) + 2*plog(-0.313) - 0.152*exp(x0)) - 0.001,54,68.0,20.0,39.0,9.0,70.0,17.0,58.0,14.0,15.0,8.0
kotanchek,55,EPLEX,EPLEX,26,1,kept,exp((((-0.522*x0)^3)-exp(0.123))),0.322747685344673*exp(-0.142236648*x0**3),55,10.0,3.0,7.0,2.0,10.0,3.0,7.0,2.0,2.0,2.0
kotanchek,56,EPLEX,EPLEX,27,1,kept,exp(((x0-exp((0.288-(x1^2))))-((0.466-x0)+((x0^2)+(0.178+(0.215+((exp((1.252+(0.442+(((x1^2)+(x1*(x1-(x1^3))))*0.115))))+((-0.001+((0.069-(0.173+(0.109*0.256)))+(exp((-0.343+x1))*0.264)))-0.062))*0.144))))))),0.435642283097052*exp(((-x0**2 + 2*x0 - 0.0269776062506729*exp(x1) - 0.783533093999475*exp(0.115*x1**2*(2 - x1**2)))*exp(x1**2) - 1.33375730412338)*exp(-x1**2)),56,55.0,13.0,39.0,7.0,46.0,9.0,39.0,8.0,13.0,5.0
kotanchek,57,EPLEX,EPLEX,28,0,missing_rank,(exp((plog((-0.616^3))/exp((exp(((x0*exp((-0.663^3)))-exp((exp((0.271-(plog((((plog((-0.613^3))-(plog((exp((plog((x0^2))-(x0-plog(((x0^3)+exp((x0-(x0^2))))))))-x0))^2))-exp(-0.458))^3))^2)))-(x1^2)))))*exp((x0-(x0^2)))))))^3),exp(3*plog(-0.233744896)*exp(-exp(-x0**2 + 1.74719114204694*x0 - exp(-x1**2 + 1.31127507038459*exp(-plog(-(-plog(-0.230346397) + plog(-x0 + exp(-x0 + plog(x0**2) + plog(x0**3 + exp(-x0**2 + x0))))**2 + 0.632547476207363)**3)**2))))),57,67.0,5.0,54.0,5.0,82.0,15.0,54.0,7.0,,
kotanchek,58,EPLEX,EPLEX,29,1,kept,((0.439+(0.792-exp((((x1*(x0-(x1*(x0-((x1*(0.087-(x1*(x0+0.792))))*(0.724*(0.1*(-0.617))))))))*0.158)-(x1*0.391)))))*exp((-0.272-((x0-(-1.139*(-0.787)))*(x0-0.996))))),(0.93784259540159 - 0.761854261089838*exp(x1*(0.158*x0 - 0.158*x1*(x0 - 0.0446708*x1*(x1*(x0 + 0.792) - 0.087)) - 0.391)))*exp(-(x0 - 0.996)*(x0 - 0.896393)),58,41.0,10.0,39.0,10.0,41.0,11.0,37.0,9.0,10.0,8.0
kotanchek,59,EPLEX,EPLEX,30,1,kept,((((0.208*x0)^2)-0.592)^2),0.350464*(0.0730810810810811*x0**2 - 1)**2,59,9.0,2.0,7.0,2.0,9.0,2.0,7.0,2.0,2.0,2.0
kotanchek,60,FEAT,FEAT,1,0,drop_feat,6049.12-6284.61*exp(0.1093*(0.4422*x0+0.0838*x1))+303.18*x1+299.58*exp(0.2130*x0)+97.70*(0.3491*x0+0.2655*(0.3751*x1*x1))-66.98*exp(0.5288*x0)-21.06*(0.5040*(0.5521*x0-0.2100*x1)*x1)+4.95*exp(0.9971*x0)-2.93*exp(0.9684*(0.7244*exp(0.6332*x0)/0.7762*x0))+1.14*exp(0.7910*(0.8889*x0+0.4724*x1))-0.17*(0.7244*exp(0.8388*x0)/0.7762*x1),34.10707*x0 + 9.729850185*x1**2 - 21.06*x1*(0.2782584*x0 - 0.10584*x1) - 0.158654985828395*x1*exp(0.8388*x0) + 303.18*x1 + 299.58*exp(0.213*x0) - 66.98*exp(0.5288*x0) + 4.95*exp(0.9971*x0) - 2.93*exp(0.903773460448338*x0*exp(0.6332*x0)) - 6284.61*exp(0.04833246*x0 + 0.00915934*x1) + 1.14*exp(0.7031199*x0 + 0.3736684*x1) + 6049.12,60,109.0,33.0,87.0,23.0,91.0,24.0,84.0,23.0,33.0,3.0
kotanchek,61,FEAT,FEAT,2,0,drop_feat,-21.7795+229.78*(0.0806*(0.1176*(0.0018*x1+0.2476*x0)*(0.0400*x1-0.1998*x0))+0.4471*(0.6523*x0*(0.0564*x0*x0)))+26.79*(0.3283*(0.2520*x1*x0)*(0.0883*(0.0772*x0*(0.3781*x0*x1))-0.7286*x1))-20.57*(0.2805*x1-0.1527*(0.7515*(0.6558*(0.7553*x0*x0)+0.3584*x0)*(0.1136*x0*x0)))-8.23*(0.0380*x1*(0.7884*(0.3274*x1*x1)-0.2856*x0))+7.18*(0.3283*(0.2520*x1*x0)*(0.0883*(0.0772*x0*(0.3201*x0-0.8523*x1))-0.7286*(0.5717*x1*(0.9324*x0+0.9743*x1))))+4.61*(0.7401*(0.5383*(0.8193*x0-0.2236*x0)+0.9589*(0.1546*x1*x0))/0.2880*x0)-4.27*(0.0293*x0*x0)+1.38*(0.0772*x1*(0.5472*x1*(0.2556*x1*x1)))-0.51*(0.3283*(0.2520*x1*x0)*(0.8156*x1+0.8963*(0.5317*x0+0.3064*x1)))+0.05*(0.5870*(0.6558*(0.7553*x0*x0)+0.3584*x0)/0.0341*x0),3.77957856632136*x0**3 + 0.3568220304*x0**2*(0.37223729361*x0**2 + 0.2693376*x0) - 0.125111*x0**2 - 0.042193116*x0*x1*(0.47656271*x0 + 1.09022632*x1) + 0.594012888*x0*x1*(0.00681676*x0*(0.3201*x0 - 0.8523*x1) - 0.41654062*x1*(0.9324*x0 + 0.9743*x1)) + 2.216379564*x0*x1*(0.002577416956*x0**2*x1 - 0.7286*x1) + 0.05*x0*(8.52657505513197*x0**2 + 6.16952492668622*x0) + 4.61*x0*(0.380961181229167*x0*x1 + 0.824043041427083*x0) + 0.01490058519552*x1**4 - 0.31274*x1*(-0.2856*x0 + 0.25812216*x1**2) - 5.769885*x1 + 18.520268*(-0.1998*x0 + 0.04*x1)*(0.02911776*x0 + 0.00021168*x1) - 21.7795,61,239.0,69.0,125.0,24.0,165.0,37.0,112.0,24.0,69.0,15.0
kotanchek,62,FEAT,FEAT,3,0,drop_feat,-420.113-171.34*(0.0652*x0-0.3743*(0.0410*(0.6092*(0.2454*x1+0.7762*(0.2392*x1*x1))+0.8858*x0)*(0.2306*(0.5164*x0+0.2864*x1)*x1)))-110.65*(0.0903*x0*x0)-80.52*(0.3232*(0.8282*(0.0903*x0*x0)-0.5168*x0)*(0.0903*x0*(0.1071*x0*(0.2306*x1*x1))))+78.44*(0.8793*(0.4015*x0+0.5173*(0.1985*x0*x0))/0.3172*x0)+31.84*(0.3191*(0.2454*x1+0.7762*(0.2392*x1*x1))*(0.0242*x1*x0))-23.89*(0.3232*(0.8282*x0-0.5168*(0.0959*x0*x0))*(0.4589*x0*x0))+4.57*(0.0903*x0*(0.1071*x0*(0.2306*x1*x1)))+0.68*(0.9574*(0.4015*(0.2392*x1*x1)+0.5173*(0.3843*x0*x0))/0.9550*(0.0923*(0.7083*x0-0.6867*x1)*(0.8282*x0-0.5168*(0.0959*x0*x0))))+0.23*(0.5164*x0+0.2864*x1)-0.16*(0.3191*x1*x1),-0.17957269078056*x0**2*x1**2*(0.024170983872*x0**2 - 0.16702976*x0) + 0.01019184298146*x0**2*x1**2 - 10.963121*x0**2*(-0.016018153984*x0**2 + 0.26767424*x0) - 9.991695*x0**2 + 0.770528*x0*x1*(0.059246352464*x1**2 + 0.07830714*x1) + 78.44*x0*(0.284647178956494*x0**2 + 1.11298534047919*x0) - 11.052596*x0 - 0.051056*x1**2 + 64.132562*x1*(0.11908184*x0 + 0.06604384*x1)*(0.0363178*x0 + 0.004637442791488*x1**2 + 0.00612940488*x1) + 0.065872*x1 + 0.68*(0.06537609*x0 - 0.06338241*x1)*(-0.04956112*x0**2 + 0.8282*x0)*(0.199297988048168*x0**2 + 0.096280154052356*x1**2) - 420.113,62,221.0,63.0,109.0,23.0,161.0,34.0,104.0,22.0,63.0,19.0
kotanchek,63,FEAT,FEAT,4,0,drop_feat,0.321159-6449.42*(0.2734*(0.0093*x0*(0.2734*(0.0093*x0*x0)*x0))*x0)-979.53*(0.2623*(0.0537*x0*(0.4042*x1-0.2979*x0))*(0.0058*x0*x0))+284.70*(0.2734*(0.0093*x0*x0)*(0.3442*(0.4835*x1*(0.4084*x1*x1))+0.5750*x0))+53.67*(0.2734*(0.0093*x0*x0)*(0.3442*(0.4835*(0.3568*(0.7324*x1*x0)-0.2994*x1)*x1)+0.5750*x0))+22.41*(0.4835*(0.3568*(0.7324*x1*(0.5594*x1+0.4071*x1))-0.2994*x1)*(0.2835*(0.5546*x1-0.4434*(0.5486*(0.6762*(0.1702*x0*x1)+0.7833*x0)*(0.8780*x0+0.1994*x1)))*(0.6847*x1+0.7561*x0)))+9.16*(0.5486*(0.0641*x1*x0)*x1)-9.09*(0.4835*(0.3568*(0.7324*(0.3568*x0-0.2994*x1)*x1)-0.2994*x1)*(0.2835*(0.9843*x1-0.7018*(0.5486*(0.6762*x1+0.7833*x0)*(0.8780*x0+0.1994*x1)))*(0.6847*x1+0.7561*x0)))+6.01*(0.4417*x0-0.7308*x0)+1.78*(0.6525*(0.1835*(0.9930*x0+0.8669*x1)*x1)-0.6308*x0)+0.18*x1,-0.0416949615438306*x0**5 - 0.08002364173974*x0**3*(-0.2979*x0 + 0.4042*x1) + 0.723883914*x0**2*(0.575*x0 + 0.06796621388*x1**3) + 0.1364624154*x0**2*(0.575*x0 + 0.3442*x1*(0.12634837472*x0*x1 - 0.1447599*x1)) + 0.3221137816*x0*x1**2 - 2.860315*x0 + 1.16145*x1*(0.1822155*x0 + 0.15907615*x1) + 0.18*x1 + 22.41*(0.7561*x0 + 0.6847*x1)*(0.1572291*x1 - 0.1257039*(0.878*x0 + 0.1994*x1)*(0.063137957064*x0*x1 + 0.42971838*x0))*(0.12211570416688*x1**2 - 0.1447599*x1) - 9.09*(0.7561*x0 + 0.6847*x1)*(0.27904905*x1 - 0.1989603*(0.42971838*x0 + 0.37096332*x1)*(0.878*x0 + 0.1994*x1))*(0.1725128*x1*(0.26132032*x0 - 0.21928056*x1) - 0.1447599*x1) + 0.321159,63,263.0,76.0,141.0,30.0,185.0,45.0,127.0,28.0,76.0,22.0
kotanchek,64,FEAT,FEAT,5,0,drop_feat,0.310671-301.65*(0.1316*(0.5327*(0.3242*x0+0.0805*(0.1586*(0.6458*x0+0.0875*x1)+0.1087*x0))*x0)*(0.7770*x0*(0.0176*x0*x0)))+141.48*(0.0018*(0.6153*x1*x1)*(0.3389*x1*(0.5905*x1+0.4384*x0)))+47.24*(0.1845*x1*(0.5538*x1-0.5715*x1))-28.76*(0.0348*(0.0438*x1*x1)*x1)+23.83*(0.0847*(0.1266*x0*x1)*(0.5538*(0.6153*x1*(0.1316*x0*x0))-0.5715*x1))-14.08*(0.1161*(0.2366*(0.2807*x0*x1)*(0.7098*x1-0.1870*(0.4719*x1*x0)))*x0)+6.69*(0.8901*x0*(0.8100*(0.0168*x0*x0)*(0.5641*(0.1723*x0*x1)+0.1443*(0.5538*x0-0.5715*x1))))+2.74*(0.8100*(0.1316*x0*x0)*x0)-0.71*(0.1845*x0*x1)+0.64*(0.9003*(0.8588*x1+0.0198*x1)-0.7194*(0.9263*x0-0.9607*x1)),-0.542866328928*x0**4*(0.181754828115518*x0 + 0.000595099812125*x1) + 0.081032496552*x0**3*(0.09719443*x0*x1 + 0.07991334*x0 - 0.08246745*x1) + 0.29207304*x0**3 - 0.10856554765056*x0**2*x1*(-0.0882453*x0*x1 + 0.7098*x1) + 0.2555295666*x0*x1*(0.044843113224*x0**2*x1 - 0.5715*x1) - 0.130995*x0*x1 - 0.4264833408*x0 + 0.05310385389288*x1**3*(0.4384*x0 + 0.5905*x1) - 0.0438371424*x1**3 - 0.154269306*x1**2 + 0.9485639424*x1 + 0.310671,64,213.0,60.0,107.0,21.0,121.0,25.0,85.0,19.0,60.0,16.0
