implementation,algorithm_raw,algorithm,algo_row,node_count,after_nodes,runtime_ms,status
Archived Haskell,,,,27,,4.470000000,archived_benchmark
Archived Haskell,,,,27,,268.900000000,archived_benchmark
Archived Haskell,,,,29,,2.533000000,archived_benchmark
Archived Haskell,,,,20,,1.174000000,archived_benchmark
Archived Haskell,,,,16,,1.082000000,archived_benchmark
Archived Haskell,,,,53,,254.400000000,archived_benchmark
Archived Haskell,,,,41,,8.862000000,archived_benchmark
Archived Haskell,,,,17,,1.122000000,archived_benchmark
Archived Haskell,,,,27,,11.140000000,archived_benchmark
Archived Haskell,,,,44,,233.900000000,archived_benchmark
Archived Haskell,,,,39,,266.900000000,archived_benchmark
Archived Haskell,,,,35,,11.920000000,archived_benchmark
Archived Haskell,,,,41,,461.700000000,archived_benchmark
Archived Haskell,,,,44,,59.140000000,archived_benchmark
Archived Haskell,,,,31,,275.600000000,archived_benchmark
Archived Haskell,,,,28,,107.900000000,archived_benchmark
Archived Haskell,,,,37,,112.200000000,archived_benchmark
Archived Haskell,,,,35,,515.900000000,archived_benchmark
Archived Haskell,,,,36,,155.000000000,archived_benchmark
Archived Haskell,,,,33,,11.260000000,archived_benchmark
Archived Haskell,,,,41,,283.900000000,archived_benchmark
Archived Haskell,,,,42,,532.300000000,archived_benchmark
Archived Haskell,,,,43,,149.600000000,archived_benchmark
Archived Haskell,,,,41,,241.400000000,archived_benchmark
Archived Haskell,,,,34,,143.200000000,archived_benchmark
Archived Haskell,,,,42,,28.950000000,archived_benchmark
Archived Haskell,,,,43,,371.300000000,archived_benchmark
Archived Haskell,,,,42,,339.400000000,archived_benchmark
Archived Haskell,,,,35,,101.400000000,archived_benchmark
Archived Haskell,,,,31,,339.800000000,archived_benchmark
Archived Haskell,,,,31,,200.300000000,archived_benchmark
Archived Haskell,,,,37,,198.200000000,archived_benchmark
Archived Haskell,,,,26,,4.090000000,archived_benchmark
Archived Haskell,,,,41,,231.500000000,archived_benchmark
Archived Haskell,,,,43,,90.390000000,archived_benchmark
Archived Haskell,,,,42,,129.600000000,archived_benchmark
Archived Haskell,,,,44,,203.500000000,archived_benchmark
Archived Haskell,,,,35,,42.310000000,archived_benchmark
Archived Haskell,,,,28,,11.360000000,archived_benchmark
Live Haskell,Operon,Operon,1,39,31,65.329,saturated
Live Haskell,Operon,Operon,2,48,34,246.738,saturated
Live Haskell,Operon,Operon,3,45,33,1480.4409999999998,saturated
Live Haskell,Operon,Operon,4,47,37,393.28999999999996,saturated
Live Haskell,Operon,Operon,5,49,37,301.294,saturated
Live Haskell,Operon,Operon,6,45,35,1790.443,saturated
Live Haskell,Operon,Operon,7,44,36,46.411,saturated
Live Haskell,Operon,Operon,8,49,39,81.535,saturated
Live Haskell,Operon,Operon,9,45,33,1352.33,saturated
Live Haskell,Operon,Operon,10,43,33,380.983,saturated
Live Haskell,Operon,Operon,11,41,31,3594.2059999999997,saturated
Live Haskell,Operon,Operon,12,48,32,2125.07,saturated
Live Haskell,Operon,Operon,13,41,35,54.144,saturated
Live Haskell,Operon,Operon,14,47,37,151.29899999999998,saturated
Live Haskell,Operon,Operon,15,45,29,754.6500000000001,saturated
Live Haskell,Operon,Operon,16,50,38,387.974,saturated
Live Haskell,Operon,Operon,17,45,37,1182.942,saturated
Live Haskell,Operon,Operon,18,45,31,2054.6639999999998,saturated
Live Haskell,Operon,Operon,19,41,35,68.841,saturated
Live Haskell,Operon,Operon,20,47,37,1465.374,saturated
Live Haskell,Operon,Operon,21,45,37,3641.356,saturated
Live Haskell,Operon,Operon,22,42,34,110.607,saturated
Live Haskell,Operon,Operon,23,45,37,201.139,saturated
Live Haskell,Operon,Operon,24,41,33,366.697,saturated
Live Haskell,Operon,Operon,25,45,33,1218.068,saturated
Live Haskell,Operon,Operon,26,41,33,4412.607999999999,saturated
Live Haskell,Operon,Operon,27,48,36,244.91299999999998,saturated
Live Haskell,Operon,Operon,28,45,33,929.767,saturated
Live Haskell,Operon,Operon,29,45,33,1005.7560000000001,saturated
Live Haskell,Operon,Operon,30,45,33,197.646,saturated
Live Haskell,GOMEA,GP-GOMEA,1,19,19,1608.662,saturated
Live Haskell,GOMEA,GP-GOMEA,2,17,17,291.779,saturated
Live Haskell,GOMEA,GP-GOMEA,3,17,17,290.49199999999996,saturated
Live Haskell,GOMEA,GP-GOMEA,4,19,19,1317.443,saturated
Live Haskell,GOMEA,GP-GOMEA,5,19,19,1635.3819999999998,saturated
Live Haskell,GOMEA,GP-GOMEA,6,19,17,657.273,saturated
Live Haskell,GOMEA,GP-GOMEA,25,16,16,292.588,saturated
Live Haskell,GOMEA,GP-GOMEA,26,1,1,0.348,saturated
Live Haskell,GOMEA,GP-GOMEA,27,1,1,0.32,saturated
Live Haskell,GOMEA,GP-GOMEA,28,21,21,1594.139,saturated
Live Haskell,GOMEA,GP-GOMEA,29,19,19,306.329,saturated
Live Haskell,GOMEA,GP-GOMEA,30,17,17,307.37199999999996,saturated
Live Haskell,EPLEX,EPLEX,1,29,22,536.438,saturated
Live Haskell,EPLEX,EPLEX,2,89,73,7.266,saturated
Live Haskell,EPLEX,EPLEX,3,64,48,302.601,saturated
Live Haskell,EPLEX,EPLEX,4,58,46,6.409,saturated
Live Haskell,EPLEX,EPLEX,5,67,54,661.822,saturated
Live Haskell,EPLEX,EPLEX,6,71,44,1034.526,saturated
Live Haskell,EPLEX,EPLEX,7,66,58,23.314999999999998,saturated
Live Haskell,EPLEX,EPLEX,8,51,43,30.43,saturated
Live Haskell,EPLEX,EPLEX,9,83,50,850.705,saturated
Live Haskell,EPLEX,EPLEX,10,37,24,9.313,saturated
Live Haskell,EPLEX,EPLEX,11,78,50,1333.088,saturated
